título_2018;links_2018;autores_e_universidades_2018;code_area;area;id_doc
RESTAURAÇÃO NEOLIBERAL E O ESGOTAMENTO HISTÓRICO DE FORMAS CONSAGRADAS DE RESISTÊNCIA;https://www.anpec.org.br/encontro/2018/submissao/files_I/i2-4dd8bf7dcedf4934653953588205eb02.pdf;EDUARDO SÁ BARRETO (UFF);i2;Área 2 - Economia Política;doc14
A ATUAÇÃO DA CARTEIRA DE CRÉDITO AGRÍCOLA E INDUSTRIAL (CREAI) DO BANCO DO BRASIL ENTRE 1937 E 1969;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-1dc657a2463eedd828e3452926203dc6.pdf;ANDRÉ DA SILVA REDIVO (UNIPAMPA) - PEDRO CEZAR DUTRA FONSECA (UFRGS);i3;Área 3 - História Econômica;doc15
A CAPTURA DO PROCESSO DEMOCRÁTICO PELA ELITE NOS MUNICÍPIOS BRASILEIROS E A AMPLIAÇÃO DA DESIGUALDADE EDUCACIONAL POR COR;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-5bff7edc439d3446dd49790d35608bd6.pdf;PEDRO AUGUSTO OLIVEIRA (INSPER) - BRUNO KOMATSU (INSPER) - NAERCIO AQUINO MENEZES FILHO (INSPER);i3;Área 3 - História Econômica;doc16
A INSTITUCIONALIZAÇÃO DA HISTÓRIA ECONÔMICA NA INGLATERRA, C.1900;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-bf3b7c94c7209898f697c98c81e55255.pdf;ALEXANDRE MACCHIONE SAES (USP/FEA);i3;Área 3 - História Econômica;doc17
AS ORIGENS DO FINANCIAMENTO INDUSTRIAL NO BRASIL, 1891-1940: UM ESTUDO DA COMPANHIA ANTARCTICA PAULISTA;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-5e2ae9a86573a4a4436aa6aa19396aa0.pdf;MICHEL DELIBERALI MARSON (UNIFAL) - ELLEN FONSECA DE ASSIS (UNIFAL);i3;Área 3 - História Econômica;doc18
CÂMBIO E INCERTEZA MACROECONÔMICA NA ECONOMIA BRASILEIRA DO PERÍODO 1808 A 1930;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-bd462218b1b47222385ab1eef07adc43.pdf;ANA CRISTINA PEREIRA DAS NEVES (UNIVERSIDADE DE CAMBRIDGE) - HELENO PIAZENTINI VIEIRA (INSPER);i3;Área 3 - História Econômica;doc19
GEOPOLÍTICA DO MINÉRIO DE FERRO BRASILEIRO NO ENTREGUERRAS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-6d5981be0df32e3e16e9783e65d97b4d.pdf;GUSTAVO BARROS (UFJF);i3;Área 3 - História Econômica;doc20
HIPOTECAS, REFORMAS INSTITUCIONAIS E O BANCO DO BRASIL NA SEGUNDA METADE DO SÉCULO XIX;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-cdb18b60e8dfbf5aecbf24b8a195ac05.pdf;RENATO LEITE MARCONDES (USP/FEA-RP);i3;Área 3 - História Econômica;doc21
INFLAÇÃO, SALÁRIOS E CONFLITO DISTRIBUTIVO DURANTE A GOLDEN AGE DO CAPITALISMO E O CASO DOS PAÍSES COM NEGOCIAÇÕES CENTRALIZADAS.;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-4cc76d005a2725b079e21f0da49902c9.pdf;GUILHERME SPINATO MORLIN (UFRJ) - CARLOS PINKUSFELD MONTEIRO BASTOS (UFRJ);i3;Área 3 - História Econômica;doc22
RACIONALIDADE POLÍTICA E ECONÔMICA NO GOVERNO GEISEL (1974–1979): UM ESTUDO SOBRE O II PND E O PROJETO DE INSTITUCIONALIZAÇÃO DO REGIME MILITAR;https://www.anpec.org.br/encontro/2018/submissao/files_I/i3-9406729ca87ac6f0c3981e4f09ee8b89.pdf;RAFAEL LUÍS SPENGLER (UFRGS) - SÉRGIO MARLEY MODESTO MONTEIRO (UFRGS);i3;Área 3 - História Econômica;doc23
A EFICÁCIA DA POLÍTICA FISCAL NO BRASIL: UMA ABORDAGEM SVAR IDENTIFICADO COM RESTRIÇÕES DE SINAIS E DE ZEROS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-0908fcaa086f8b87f6154ce564e465ca.pdf;THIAGO FELIPE RAMOS DE ABREU (UERJ) - ELCYON CAIADO ROCHA LIMA (UERJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc24
ASYMMETRIC BRAZILIAN PHILLIPS CURVE: A QUANTILE REGRESSION APPROACH;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-ea2ea238052f4f23ab2619dd03d7e444.pdf;MICHEL CÂNDIDO DE SOUZA (UFVJM) - MAURO SAYAR FERREIRA (UFMG) - LÍZIA DE FIGUEIREDO (UFMG);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc25
CARACTERIZAÇÃO DOS CICLOS DE NEGÓCIOS DOS SETORES PRODUTIVOS DA INDÚSTRIA BRASILEIRA;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-7a1639819873ee70b5442e2ce363e816.pdf;NICOLINO TROMPIERI NETO (IPECE E UNIFOR) - CRISTIANO DA SILVA (CAEN/UFC) - IVAN CASTELAR (CAEN/UFC) - JOÃO LIMA DA COSTA GADELHA (SEFAZ/CE);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc26
CENTRAL BANK AND CREDIT SPREAD: TRANSPARENCY MATTERS?;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-960c404a640f954bf8c01961a0b4de47.pdf;PALOMA PIO CORRÊA () - CLAUDIO OLIVEIRA DE MORAES  (BACEN);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc27
CICLOS DE CRESCIMENTO NO BRASIL: UMA ABORDAGEM USANDO ANÁLISE DO ESPECTRO SINGULAR;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-d41a4b187909dd9818716791e43f14c5.pdf;FERNANDO IOANNIDES LOPES DA CRUZ (UFRGS) - HUDSON TORRENT (UFRGS) - DANILO MASTUOKA (UFRGS);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc28
DO FISCAL COMMUNICATION AND CLARITY OF FISCAL ANNOUNCEMENTS AFFECT PUBLIC DEBT UNCERTAINTY? EVIDENCE FROM BRAZIL;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-b136e7722fe88a009bea5139290d03b7.docx;TATIANA ACAR (UFF) - GABRIEL CALDAS MONTES (UFF) - RODOLFO TOMÁS DA FONSECA NICOLAY  (UCAM);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc29
ELASTICIDADES JUROS E PRAZO DA DEMANDA DE CRÉDITO LIVRE E DIRECIONADO NO BRASIL;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-d215d75a3db928c21218bab8f36820cd.pdf;JOÃO ALBERTO DE NEGRI (IPEA) - PATRICK FRANCO ALVES (IPEA) - SERGIO MIKIO KOYAMA (BACEN) - BRUNO CÉSAR ARAUJO (IPEA);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc30
FINANCIAL CONDITIONS AND MACROECONOMIC VOLATILITY IN EMERGING MARKETS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-8233ee2dcd57b78c94ba4e824e641c1e.pdf;GIAN PAULO SOAVE (USP/FEA-RP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc31
FORMAÇÃO DE HÁBITO E O CUSTO DE BEM-ESTAR DA INCERTEZA MACROECONÔMICA;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-3d257b2a86a9cd42880256e2f876a62e.pdf;GABRIEL TAMANCOLDI COUTO (USP/FEA-RP) - FÁBIO AUGUSTO REIS GOMES (USP/FEA-RP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc32
IMPACTOS DA INCERTEZA MACROECONÔMICA SOBRE A SITUAÇÃO FISCAL NO BRASIL;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-4b7e30018da424aea65627afa017d0ec.pdf;RAFAEL BARROS BARBOSA (UFC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc33
INFLATION TARGETING AND INFLATION RISK: EMPIRICAL EVIDENCE IN LATIN AMERICA;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-04a60358a69909dfafe8dcb4d62cdfde.pdf;BRUNO FERREIRA FRASCAROLI (UFPB) - WELLINGTON CHARLES LACERDA NOBREGA (UNIVERSIDADE FEDERAL DA PARAÍBA);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc34
INTERAÇÃO ENTRE POLÍTICA FISCAL E POLÍTICA MONETÁRIA NO PERÍODO PÓS-METAS DE INFLAÇÃO;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-6c87da95d637b2bf4633e83899ddbff4.pdf;CÁSSIO ROBERTO DE ANDRADE ALVES (UFSC) - GUILHERME VALLE MOURA (UFSC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc35
MACRODYNAMIC IMPLICATIONS OF EMPLOYEE PROFIT SHARING AS EFFORT ELICITATION DEVICE;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-0357c941db062dd996ff558cdfff43f0.pdf;GILBERTO TADEU LIMA (USP/FEA) - JAYLSON JAIR DA SILVEIRA (UFSC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc36
MACROECONOMIC AND BANKING DETERMINANTS OF FINANCIAL INTERMEDIATION;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-7a7dd73265aa3907e83a01118deaaf1b.pdf;CLAUDIO OLIVEIRA DE MORAES (BACEN) - JOSE AMERICO PEREIRA ANTUNES (BACEN);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc37
MARGENS BANCÁRIAS: EVIDÊNCIAS A PARTIR DAS OPERAÇÕES INDIRETAS DO BNDES;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-17335327918da35bb48f8a16da6baf96.pdf;KAMAIAJI DE SOUZA CASTOR (UFRJ/IE) - EDUARDO PONTUAL RIBEIRO (UFRJ/IE);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc38
NEWS SHOCKS, GOVERNMENT SUBSIDIES AND HOUSING PRICES IN BRAZIL;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-f6c86efc76a38b5c9aca505f42d68878.pdf;CÁSSIO DA NÓBREGA BESARRIA (UFPB) - MARCELO EDUARDO ALVES DA SILVA (UFPE) - DIEGO PITTA DE JESUS (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc39
O TAPERING DA POLÍTICA MONETÁRIA AMERICANA E SEU IMPACTO SOBRE A ECONOMIA BRASILEIRA;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-25fb2918f748c04e109b743a86bec058.docx;KARLO MARQUES JUNIOR (UEPG) - CELSO JOSÉ COSTA JUNIOR (UEPG);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc40
PREVISÃO MACROECONÔMICA PARA O BRASIL UTILIZANDO O MODELO VAR COM DADOS MISTOS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-d21e8dc79141dc8c8067616f685a1bd1.pdf;BRUNA KASPRZAK BORGES (UFRGS) - MARCELO SAVINO PORTUGAL (UFRGS);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc41
REAL ESTATE MARKET, CREDIT AND REAL BUSINESS CYCLES: EVIDENCES FROM A DSGE MODEL FOR THE US ECONOMY;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-555c92c7f84782443584ad9382b431f5.pdf;VINICIUS PHILLIPE DE ALBUQUERQUEMELLO (UFPE/PIMES) - CÁSSIO DA NÓBREGA BESARRIA (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc42
RECESSÃO BRASILEIRA (2014-2016): UMA ANÁLISE POR MEIO DO MÉTODO DO CONTROLE SINTÉTICO DO PIB, PIB PER CAPITA, TAXA DE INVESTIMENTO E TAXA DE DESEMPREGO;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-e40f41cc1badaf4207dc9dc7f5823cc8.pdf;MARCEL GRILLO BALASSIANO (FGV-RJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc43
REGIME-DEPENDENT “PRICE PUZZLE” IN THE BRAZILIAN ECONOMY: EVIDENCE FROM VAR AND FAVAR APPROACHES;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-8b3741e2d7ed3ca8ef032609edf74757.docx;GIULIANO DE QUEIROZ FERREIRA (USP/FEA-RP) - LEONARDO BORNACKI DE MATTOS (UFV);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc44
SECURITIZATION OF ASSETS AND RISK TRANSFER IN THE BRAZILIAN ECONOMY;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-8dc84507f65fbb37059fe63a79af07e1.pdf;VIVIAN IRIS BARCELOS (UFF) - HELDER FERREIRA DE MENDONÇA (UFF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc45
SELECTION OF LAGS AND UNIVARIATE MODELS TO FORECAST INDUSTRIAL PRODUCTION IN AN EMERGING COUNTRY: IS DISAGREGGATION USEFUL?;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-d3274c98a08ecf95692fd76aaeaa6621.pdf;DIOGO DE PRINCE (UNIFESP) - EMERSON MARÇAL (EESP/FGV);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc46
TIMING, DURAÇÃO E MAGNITUDE DA RECESSÃO ECONÔMICA 2014-16 NOS ESTADOS BRASILEIROS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-60db19f3cf5173481ba8aad3aa78ac20.pdf;JÉFFERSON AUGUSTO COLOMBO (SECRETARIA DE PLANEJAMENTO GOVERNANÇA E GESTÃO DO RS) - MARTINHO R LAZZARI (SPGG);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc47
EDUCAÇÃO E CRESCIMENTO ECONÔMICO: EVIDÊNCIAS NO MODELO MRW AMPLIADO;https://www.anpec.org.br/encontro/2018/submissao/files_I/i4-42d5a2a17ce6fd8a53ebea10be368699.docx;ANGELO DO NASCIMENTO NOGUEIRA (UCB) - CARLOS ENRIQUE CARRASCO-GUTIERREZ (UCB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças;doc48
COMO AS TROCAS DE CONTROLE SOCIETÁRIO AFETAM O DESEMPENHO DAS EMPRESAS EM UM REGIME DE REGULAÇÃO POR INCENTIVOS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-d347a36d1ee7a9d9096ca1dad34e4c9d.pdf;HALISSON RODRIGUES FERREIRA COSTA (UnB);i5;Área 5 - Economia do Setor Público;doc49
DESIGUALDADES DE ACESSO A SERVIÇOS PÚBLICOS DE SANEAMENTO BÁSICO: EVIDÊNCIAS DE SELETIVIDADE DAS POLÍTICAS E EFEITOS DO CRESCIMENTO ECONÔMICO;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-2f244f2077229023c3b69eaeab56280f.pdf;CARLOS CESAR SANTEJO SAIANI (UFU) - WELBER TOMÁS DE OLIVEIRA (UFU);i5;Área 5 - Economia do Setor Público;doc50
EDUCAÇÃO INTEGRAL E INDICADORES SOCIAIS: UMA AVALIAÇÃO DE IMPACTO DO PROGRAMA MAIS EDUCAÇÃO NO TRABALHO INFANTIL E NO DESEMPREGO DAS MÃES;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-256d7ddb329b69fce2acce3310709577.pdf;CAIO CORDEIRO DE RESENDE (UnB) - ANA CAROLINA ZOGBHI (UNB) - RAFAEL TERRA DE MENEZES (UNB) - LUIS FELIPE OLIVEIRA (IPEA);i5;Área 5 - Economia do Setor Público;doc51
EFEITO DA MUNICIPALIZAÇÃO DO ITR SOBRE A ARRECADAÇÃO TRIBUTÁRIA DOS MUNICÍPIOS BRASILEIROS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-f267da7b5dcd66fbaa362b6df8ac35f2.docx;CLAUDIA HECK (UFMT) - FÁBIO NISHIMURA (UFMT) - BEATRIZ SANTOS ARAÚJO (UFMT);i5;Área 5 - Economia do Setor Público;doc52
ESTIMULAR O NÍVEL DE ATIVIDADE ECONÔMICA OU AUMENTAR ALÍQUOTA TRIBUTÁRIA? UMA INVESTIGAÇÃO EMPÍRICA SOBRE OS DETERMINANTES DA ARRECADAÇÃO DO ICMS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-352c0ba86e839522cba08f729a46e12e.docx;JAILISON WEILLY SILVEIRA (SECRETARIA DO TESOURO NACIONAL - STN) - SERGIO RICARDO DE BRITO GADELHA (STN);i5;Área 5 - Economia do Setor Público;doc53
FISCAL REDISTRIBUTION IN BRAZIL: 2003-2015;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-a5c8240238520333ea85dbd89d083d7a.pdf;MANUEL CAMILLO VARZEA OSORIO DE ALMEIDA (FGV-RJ) - MARCELO CORTES NERI (FGV-RJ / EPGE) - ROZANE SIQUEIRA (UFPE) - JOSÉ RICARDO NOGUEIRA (UFPE);i5;Área 5 - Economia do Setor Público;doc54
FISCAL TRANSPARENCY, GOVERNMENT EFFECTIVENESS AND GOVERNMENT SPENDING EFFICIENCY: A PANEL DATA APPROACH FOR DEVELOPED AND DEVELOPING COUNTRIES;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-753e39019fed17295f9d05e617fbff72.pdf;ANA JORDÂNIA DE OLIVEIRA (UFF) - GABRIEL CALDAS MONTES (UFF) - JÚLIO CESAR ALBUQUERQUE BASTOS (UFF);i5;Área 5 - Economia do Setor Público;doc55
GASTO PÚBLICO LOCAL E PERFIL DE FINANCIAMENTO DOS CANDIDATOS: DINÂMICA DOS GRUPOS DE INTERESSE NOS MUNICÍPIOS BRASILEIROS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-6cfa376201bf8c35535f25dc3dae2469.docx;FRANCISCO ANTONIO SOUSA DE ARAUJO (UFC/CAEN) - PAULO DE MELO JORGE NETO (UFC) - ROBERTO TATIWA FERREIRA (UFC);i5;Área 5 - Economia do Setor Público;doc56
IMPACTOS FISCAIS DA ABSTENÇÃO ELEITORAL: UM ESTUDO SOBRE A ADOÇÃO DO RECADASTRAMENTO BIOMÉTRICO NOS MUNICÍPIOS BRASILEIROS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-0d9eb6b33a4356216bc582487eb869d8.pdf;GIULIA GIRALDI ROCHA COELHO (USP/FEA-RP) - SERGIO NARUHIKO SAKURAI (FEARP-USP);i5;Área 5 - Economia do Setor Público;doc57
IMPACTS OF INTERGOVERNMENTAL TRANSFERS ON IMMIGRATION IN BRAZIL - EVIDENCE FROM A REGRESSION KINK DESIGN;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-91f9c29ed60574d1b4b3f9b6626cecc1.pdf;PAULO ROBERTO DE SOUSA FREITAS FILHO (UFMT) - TATIANE ALMEIDA DE MENEZES (PIMES/UFPE);i5;Área 5 - Economia do Setor Público;doc58
INCENTIVOS ELEITORAIS E REGIMES DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS NO BRASIL;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-95367a2888efad6df36102a35b56d500.pdf;BERNARDO SCHETTINI (IPEA) - RAFAEL TERRA (UNIVERSIDADE DE BRASÍLIA);i5;Área 5 - Economia do Setor Público;doc59
O IMPACTO DAS FISCALIZAÇÕES MUNICIPAIS PELA CGU SOBRE A OFERTA DE MERENDA ESCOLAR;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-939758a092d6fd82ff39f94c52c0aff4.pdf;DANIELLA MEDEIROS CAVALCANTI (UFRN) - FRANCISCO DE SOUSA RAMOS (UFPE/PIMES);i5;Área 5 - Economia do Setor Público;doc60
O JOVEM NA EDUCAÇÃO BÁSICA NÃO PRECISA DE EDUCAÇÃO FÍSICA? UMA ANÁLISE POR GÊNERO DO IMPACTO DESSA DISCIPLINA SOBRE A SAÚDE MENTAL DE ESCOLARES BRASILEIROS.;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-9dc514542b3a9a9bb6d62cbc67bf10c0.docx;LÍVIA MADEIRA TRIACA (FURG) - GUSTAVO SARAIVA FRIO (PUCRS) - MARCO TÚLIO ANICETO FRANÇA (PUCRS);i5;Área 5 - Economia do Setor Público;doc61
OPTIMAL COMPOSITION OF THE PUBLIC SPENDING AND ECONOMIC GROWTH;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-cda38e9dbf5fecd3625a26abeca4615d.pdf;DANIEL THOMAZ GIACOMELLI NUNES MACIEL (UCB) - JOSE ANGELO DIVINO (UCB) - WILFREDO SOSA (UCB);i5;Área 5 - Economia do Setor Público;doc62
PUBLIC INPUT AND CAPITAL TAX COMPETITION IN LOCAL JURISDICTIONS IN BRAZIL;https://www.anpec.org.br/encontro/2018/submissao/files_I/i5-26c427d732be1aa2008178d029a9f21a.pdf;RICARDO BATISTA POLITI (UFABC) - ENLINSON MATTOS (EESP/FGV) - ERIC PICIN (EESP/FGV);i5;Área 5 - Economia do Setor Público;doc63
A IMPORTÂNCIA DOS FATORES DE OFERTA E DEMANDA NA DETERMINAÇÃO DA MUDANÇA ESTRUTURAL;https://www.anpec.org.br/encontro/2018/submissao/files_I/i6-a3395e5367cecb9e0f1bbf5f2a181e61.pdf;NELSON MARCONI (FGV-SP) - ROBERTO BARBOSA DE ANDRADE ARAGÃO (AISSR-UVA) - ELIANE CRISTINA DE ARAUJO (UEM);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições;doc64
A NOTE ON PERSONAL INEQUALITY IN POST KEYNESIAN GROWTH MODELS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i6-fb3ec2281c2fe6635c7f95eaf2623db0.pdf;ARTHUR BRACKMANN NETTO (USP/FEA);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições;doc65
A POST-KALECKIAN MODEL WITH PRODUCTIVITY GROWTH AND REAL EXCHANGE RATE APPLIED FOR SELECTED LATIN-AMERICAN COUNTRIES;https://www.anpec.org.br/encontro/2018/submissao/files_I/i6-0d818fedd8f6258f1c331cdb46d3470b.pdf;DOUGLAS ALCANTARA ALENCAR (UFPA) - FREDERICO G. JAYME JR. (CEDEPLAR/UFMG) - GUSTAVO BRITTO (CEDEPLAR/UFMG);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições;doc66
ASSESSING THE IMPACT OF FISCAL CONSOLIDATIONS ON UNEMPLOYMENT AND GROWTH IN THE BRAZILIAN ECONOMY;https://www.anpec.org.br/encontro/2018/submissao/files_I/i6-89cb612e9992e4c990abdf0b285b76b9.pdf;ESTHER DWECK (UFRJ) - MARCELO TONON (UFRJ) - CAMILA UNIS KREPSKY (UFRJ);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições;doc67
