título_2019;links_2019;autores_e_universidades_2019;code_area;area
ESTRUTURA FUNDIÁRIA E CONCENTRAÇÃO DA POSSE DA TERRA NA COLÔNIA DE IMIGRANTES DONA FRANCISCA (JOINVILLE), SANTA CATARINA, 1850-1920;https://www.anpec.org.br/encontro/2019/submissao/files_I/i3-9a8b2c103a4ca3b2f4fce4e08d723a04.pdf;LUIZ MATEUS DA SILVA FERREIRA (UFOP);i3;Área 3 - História Econômica
HORÁCIO LAFER NO MINISTÉRIO DA FAZENDA: UM FIEL DA BALANÇA?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i3-ae0d860f4dc95c35d4a8c2e61f390d50.pdf;ALEXANDRE MACCHIONE SAES (USP/FEA);i3;Área 3 - História Econômica
IMIGRANTES E FAZENDEIROS NO ALVORECER DA INDÚSTRIA PAULISTA: A FORMAÇÃO DA CIA. MECÂNICA E IMPORTADORA DE SÃO PAULO (1882-1892);https://www.anpec.org.br/encontro/2019/submissao/files_I/i3-aef3e161e03860e668883165ec2934b5.pdf;GUSTAVO PEREIRA DA SILVA (UFSCAR);i3;Área 3 - História Econômica
O INVESTIMENTO NA INDÚSTRIA ANTES DE 1930: UMA ANÁLISE EMPÍRICA COM REGISTROS DE EMPRESAS DA JUNTA COMERCIAL DO ESTADO DE SÃO PAULO, 1911-1920;https://www.anpec.org.br/encontro/2019/submissao/files_I/i3-b5d05efc952f60d332a5bf74ee76cbef.pdf;MICHEL DELIBERALI MARSON (UNIFAL);i3;Área 3 - História Econômica
SOBRE A INTENCIONALIDADE DO GOVERNO VARGAS NO PROCESSO DE INDUSTRIALIZAÇÃO DA DÉCADA DE 30: UMA ANÁLISE DAS MODIFICAÇÕES INSTITUCIONAIS INDUZIDAS PELO GOVERNO, NO ÂMBITO DAS INSTITUIÇÕES DE FINANCIAMENTO.;https://www.anpec.org.br/encontro/2019/submissao/files_I/i3-19b1bb1b06d51a864702daa1ef57155c.pdf;LUCAS DI CANDIA RAMUNDO (UFF);i3;Área 3 - História Econômica
UM TESTE DE QUEBRA ESTRUTURAL PARA A HIPÓTESE DE DESLOCAMENTO DO CENTRO DINÂMICO NA INDÚSTRIA BRASILEIRA NOS ANOS 1930;https://www.anpec.org.br/encontro/2019/submissao/files_I/i3-1d982968129537f9015f21a6f9e575c5.pdf;LEONARDO SEGURA MORAES (UFU) - JONATTAN RODRIGUEZ CASTELLI (UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL) - LEONEL TOSHIO CLEMENTE (UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL);i3;Área 3 - História Econômica
CHANGES IN CENTRAL BANK PREFERENCES: AN EMPIRICAL STUDY FOR BRAZIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-73b775e10896ce5e3dc92e5ff0e5a2ef.pdf;RENNAN KERTLLY DE MEDEIROS (UFPB) - EDILEAN KLEBER DA SILVA BEJARANO ARAGÓN (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
CHOQUES ANTECIPADOS DE POLÍTICA MONETÁRIA: UMA INVESTIGAÇÃO PARA A ECONOMIA BRASILEIRA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-1a35def2e30fbfd975a5962f09a709de.pdf;ROBSON RODRIGUES PEREIRA (USP/FEA) - MARCIO ISSAO NAKANE (FEA/USP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
CHOQUES ENERGÉTICOS E AMBIENTAIS EM UM MODELO E-DSGE;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-1a3875dab561d88b7e27a72d32239e1a.pdf;YURI CESAR DE LIMA E SILVA (UFPE/PIMES) - MARCELO EDUARDO ALVES DA SILVA (UFPE/PIMES);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
CHOQUES FISCAIS TEMPORÁRIOS E TAXA DE JURO REAL: O CANAL DA RESTRIÇÃO ORÇAMENTÁRIA INTERTEMPORAL DO GOVERNO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-ae221febeb49833bc49e689d59ed45d4.pdf;ANTONIO LUIS LICHA (UFRJ/IE) - GETULIO BORGES (UFRJ/IE);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
COMBINANDO GMM E ESTIMAÇÃO BAYESIANA PARA ANALISAR A INTERAÇÃO ENTRE POLÍTICA FISCAL E MONETÁRIA NA ECONOMIA DO BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-09605289b48179696350f3514dcf34b1.pdf;DANIEL THOMAZ GIACOMELLI NUNES MACIEL (UCB) - JOSÉ ANGELO DIVINO (UCB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
DETERMINANTES ROBUSTOS DO CRESCIMENTO NOS ESTADOS BRASILEIROS: UMA ABORDAGEM BAYESIANA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-0401f8738d9cdd48b9750a898a9d394e.pdf;GIAN PAULO SOAVE (UFBA) - FÁBIO AUGUSTO REIS GOMES (FEA-RP/USP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
DINÂMICA DOS CICLOS ECONÔMICOS NO MERCADO DE TRABALHO FORMAL DOS ESTADOS BRASILEIROS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-a4d2339e6c2fbfb054d6a571b9d84ac5.docx;"CRISTIANO DA COSTA DA SILVA (UFC/CAEN) - NICOLINO TROMPIERI NETO (UNIFOR; CAEN/UFC) - IVAN CASTELAR (CAEN/UFC) - MATHEUS BORGES GONÇALVES LIMA  (CAEN/UFC)";i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
ECONOMIC POLICY COORDINATION IN THE EMU AND BRAZIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-f9dea2afafbb1b491e7b115700fa7346.pdf;MARIO AUGUSTO GOUVEA DE ALMEIDA (UFSC) - JAILSON DA CONCEIÇÃO TEIXEIRA DE OLIVEIRA (MINISTRY OF FINANCE OF CAPE VERDE) - BRUNO FERREIRA FRASCAROLI (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
EXPECTATIVAS DE INFLAÇÃO DECLARADAS E EFETIVAS: UMA ANÁLISE PARA O CASO BRASILEIRO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-3044e0d35fbb1b6a7a471b02e61c5c17.docx;PEDRO MENDES GARCIA (UFF) - HELDER FERREIRA DE MENDONÇA (UNIVERSIDADE FEDERAL FLUMINENSE - UFF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
FISCAL POLICY FOR PUBLIC DEBT STABILIZATION IN A MULTIPLE HOUSEHOLD DYNAMIC GENERAL EQUILIBRIUM MODEL FOR BRAZIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-9aa399b266df88f8b3f61f442c1f3419.pdf;FERNANDO MORAES CARNEIRO (UERJ) - OCTAVIO AUGUSTO FONTES TOURINHO (UERJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
GERENCIAMENTO DA DÍVIDA PÚBLICA E A INTERAÇÃO ENTRE POLÍTICA MONETÁRIA E FISCAL: UM MODELO DSGE PARA A ECONOMIA BRASILEIRA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-f1e65451848e8bfc352e836d0536fa00.pdf;WELLINGTON CHARLES LACERDA NOBREGA (UFPB) - CÁSSIO DA NÓBREGA BESARRIA (UFPB) - EDILEAN KLEBER DA SILVA BEJARANO ARAGÓN (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
IMPACTS OF MICROECONOMIC UNCERTAINTY SHOCKS ON THE AGGREGATE ECONOMY: AN ANALYSIS FOR BRAZIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-bcf101fe871cceb57f432e063847b8f3.pdf;ANGELO SALTON (UFV/ PPGEA) - WILSON DA CRUZ VIEIRA (PPGEA/UFV);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
INFLATION AND RELATIVE PRICE VARIABILITY IN BRAZIL FROM 1989 TO 2007;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-e4ced54b50276d686209ff2ea9af5a34.pdf;JULIA PASSABOM ARAUJO (DOUTORADO USP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
INFLATION TARGETING REGIME AND FISCAL CREDIBILITY IN BRAZIL:  A QUANTILE REGRESSION PROBABILISTIC ANALYSIS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-a1ee524c9b7daed8d35885248e674718.pdf;MICHEL CÂNDIDO DE SOUZA (UFVJM) - ELDER TIAGO DA COSTA DE SOUZA (UFJF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
INVESTIMENTO EM INFRAESTRUTURA E IMPOSTOS DISTORCIVOS: EFEITOS DE POLÍTICA FISCAL USANDO UM MODELO MICROFUNDAMENTADO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-05c6c8fb44e30b4284c2181eca929820.pdf;LUCCA SIMOENI PAVAN (UTFPR) - ARMANDO VAZ SAMPAIO (UFPR);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
INVESTMENT DECISION UNDER INFLATION TARGETING IN EMERGING MARKET ECONOMIES;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-5b872d5300f26cd958d72e222653f2d5.pdf;RICARDO BARBOSA LIMA MENDES OSCAR (UFRGS) - DOUGLAS SILVEIRA (UNIVERSIDADE FEDERAL DE JUIZ DE FORA) - SILVINHA VASCONCELOS (UNIVERSIDADE FEDERAL DE JUIZ DE FORA) - CLAUDIO R. F. VASCONCELOS (UNIVERSIDADE FEDERAL DE JUIZ DE FORA);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
IS THE AVERAGE PROPENSITY TO CONSUME STATIONARY IN THE LONG RUN? TESTING PANEL DATA FOR UNIT ROOTS EXPLOITING THE CROSS-SECTIONAL DEPENDENCE, 1952-2014;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-b6ef513fb8eefa49057e9741ce91abc5.pdf;ANDRÉ M. MARQUES (UFPB) - FÁBIO PESAVENTO (ESPM);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
MENSURANDO O SENTIMENTO DE INCERTEZA DA POLÍTICA ECONÔMICA: UMA ANÁLISE A PARTIR DA COMUNICAÇÃO DO BANCO CENTRAL DO BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-6d0fea421a2127dcd80097f52edc812f.pdf;PIERRE HÍTALO NASCIMENTO SILVA (UFPB) - CÁSSIO DA NÓBREGA BESARRIA (UFPB) - MARIA DANIELLA DE OLIVEIRA PEREIRA DA SILVA (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
NÃO LINEARIDADES E ENDOGENEIDADE NA FUNÇÃO DE REAÇÃO DO BANCO CENTRAL DO BRASIL: UMA ABORDAGEM DE REGRESSÃO QUANTÍLICA EM DOIS ESTÁGIOS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-76f4c1732155e82b0fab8102e78f8a30.pdf;GABRIEL MENDONÇA GONÇALVES (UFPB) - GABRIELA BEZERRA DE MEDEIROS (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
ON THE SUBPRIME CRISIS AND THE LATIN AMERICAN FINANCIAL MARKETS: A REGIME SWITCHING SKEW-NORMAL APPROACH;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-a56fb82357a785cd057e2995afdc565a.pdf;DIEGO FERREIRA (UFPR) - ANDREZA APARECIDA PALMA (UFSCAR);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
PREVISÃO FORA DA AMOSTRA DA TAXA DE CÂMBIO COM SENTIMENTO DAS NOTÍCIAS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-e8b0c3ab782696f27965da6104378f84.pdf;LUCAS-MATHEUS SOUZA DE ARAÚJO LIMA (UFPB) - EDILEAN KLEBER DA SILVA BEJARANO ARAGÓN (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
PUBLIC EXPENSES LIMIT RULE (PEC 55/241) AND BRAZILIAN PUBLIC DEBT SUSTAINABILITY: SCENARIO ANALYSIS TROUGH DSGE MODEL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-b67e8fcab05a70e5cf17c141fd342a01.pdf;"ÁYDANO RIBEIRO LEITE (URCA; UFBA) - CÁSSIO DA NOBREGA BESARRIA (UNIVERSIDADE FEDERAL DA PARAÍBA) - ANDRÉ LUIS MOTA DOS SANTOS (UNIVERSIDADE FEDERAL DA BAHIA) - FERNANDO FERNANDES NETO (UNIVERSIDADE DE SÃO PAULO)";i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
REPASSE CAMBIAL NA ECONOMIA BRASILEIRA: ESTIMAÇÃO A PARTIR DO MODELO VCEE;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-c365fd010854f0e14952cd31f692905e.pdf;SÉRGIO KANNEBLEY JÚNIOR (USP/FEA-RP) - LUCAS GONÇALVES GODOI (USP/FEA-RP) - DIOGO DE PRINCE (UNIFESP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
REVIEWING MONETARY POLICY INERTIA AND ITS EFFECTS: THE FRACTIONAL INTEGRATION APPROACH FOR AN EMERGING ECONOMY;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-08138de6cab12a9e5d8f938c849c6a4f.docx;RICARDO RAMALHETE MOREIRA (UFES) - EDSON ZAMBON MONTE (UFES);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
SOCIAL SECURITY REFORM AND ITS MEDIUM AND LONG-TERM MACROECONOMIC IMPACTS: AN OVERLAPPING GENERATION MODEL APPROACH;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-dc204b2d33b098fbbd2a1a2d63f770b3.pdf;CARLOS EDUARDO DE FREITAS (UFMT) - NELSON LEITÃO PAES ( (PIMES/UFPE) E (UFMT)) - FABIO NOBUO NISHIMURA ((UFMT));i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
SOVEREIGN RISK RATINGS' COUNTRY CLASSIFICATION USING MACHINE LEARNING;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-39b229505a7b1fd90a2a751101807a09.pdf;DIEGO RAMON BEZERRA DA SILVA  (UFPB) - BRUNO FERREIRA FRASCAROLI (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
SPILLOVER ENTRE AS ESTRUTURAS A TERMO DA TAXA DE JUROS:O CASO DA AMÉRICA DO SUL E OS ESTADOS UNIDOS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i4-b8baa28a16dffd3ee6b21ef0f05b0f22.pdf;IGOR BASTOS CAVACA (UFSC) - ROBERTO MEURER (UFSC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
A CRIAÇÃO DOS INSTITUTOS FEDERAIS DE EDUCAÇÃO AFETOU OS INDICADORES DE RENDIMENTO DAS ESCOLAS ESTADUAIS NO ENSINO MÉDIO?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-6725b6f77dbb317138fd3bafe32c56ec.pdf;LAUANA ROSSETTO LAZARETTI (PUC-RS) - MARCO TÚLIO ANICETO FRANÇA (PUC-RS);i5;Área 5 - Economia do Setor Público
A RELAÇÃO ENTRE TRANSPARÊNCIA PÚBLICA E GESTÃO FISCAL NOS MUNICÍPIOS BRASILEIROS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-aba74881a1bd67d6df79e0b1e1a34f9b.pdf;ANDRE GUSTAVO ALMEIDA E SILVA (UFRN) - RAQUEL MENEZES BEZERRA SAMPAIO (UFRN);i5;Área 5 - Economia do Setor Público
AFINAL, O QUE ACONTECEU COM A DESIGUALDADE NO IMPOSTO DE RENDA?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-0dc7cad1af25ca2550a2775b29a48b03.pdf;MARCOS HECKSHER (IPEA) - MARCELO NERI (FGV SOCIAL E FGV EPGE);i5;Área 5 - Economia do Setor Público
AUSTERIDADE FISCAL NO BRASIL: IMPACTOS NA RENDA DAS FAMÍLIAS E NA ATIVIDADE ECONÔMICA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-d2e24fb1324472f5f631027e1e918ef1.pdf;GUILHERME SILVA CARDOSO (UFMG/CEDEPLAR) - DÉBORA FREIRE CARDOSO (CEDEPLAR) - EDSON PAULO DOMINGUES (CEDEPLAR);i5;Área 5 - Economia do Setor Público
BENEFÍCIOS FISCAIS DO IMPOSTO SOBRE A RENDA DA PESSOA FÍSICA E SEUS IMPACTOS REDISTRIBUTIVOS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-1f29a5a2f698af7966eb723ef8f7f8ed.docx;FERNANDO GAIGER SILVEIRA (IPEA) - RODRIGO FERNANDES (TESOURO NACIONAL) - LUANA PASSOS (CEDEPLAR/UFMG);i5;Área 5 - Economia do Setor Público
CRIME E VOTO: EFEITO DA VIOLÊNCIA PÚBLICA NA ELEIÇÃO DE CANDIDATOS LAW & ORDER NO BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-86cc37e2c0fb6bba1b21b13ed0dab573.pdf;PEDRO CARREGÃ SANT'ANNA (FGV-SP/EESP) - GUILHERME GOMES LUZ (FGV-SP/EESP);i5;Área 5 - Economia do Setor Público
DESCENTRALIZAÇÃO, ESFORÇO FISCAL E CAPTURA DE RECURSOS PÚBLICOS: EFEITOS DA CRIAÇÃO DE MUNICÍPIOS NO BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-f23f15cdbf19827ed56f4b01deafe793.pdf;BENITO ADELMO SALOMÃO NETO (UFU) - CARLOS CESAR SANTEJO SAIANI (UFU);i5;Área 5 - Economia do Setor Público
DO PROTESTS REACH THE BALLOTS? THE ELECTORAL DIVIDEND OF THE BRAZILIAN SPRING;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-e40f68ce647129da041698768d856d08.pdf;CAIO DE HOLANDA MEDEIROS (UFPE) - RAFAEL COUTINHO COSTA LIMA (UFPE);i5;Área 5 - Economia do Setor Público
EFEITO DO PARCELAMENTO DE SALÁRIOS: NOTAS DA PROVA BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-3773de6cb2b7268e28090f6bf49beae5.pdf;GUSTAVO SARAIVA FRIO (PUC-RS) - MARCO TÚLIO ANICETO FRANÇA (PUCRS);i5;Área 5 - Economia do Setor Público
