título_2017;links_2017;autores_2017;code_area;area
NEOLIBERALISMO E FINANCEIRIZAÇÃO COMO NOVAS FORMAS DE CONTROLE E EXPLORAÇÃO NAS RELAÇÕES SOCIAIS CAPITALISTAS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-a0a3a68fa694730adb075e6671e6b0fb.docx;IDERLEY COLOMBINI NETO (UFRJ/IE);i2;Área 2 - Economia Política
THE RISE AND FALL OF THE BRAZILIAN ECONOMY (2004-2015): THE ECONOMIC ANTIMIRACLE;https://www.anpec.org.br/encontro/2017/submissao/files_I/i2-fd58ec386cc28579049f6a98610479ee.pdf;FERNANDO RUGITSKY (USP/FEA);i2;Área 2 - Economia Política
 PLANO DE METAS E IMPACTO NA INDÚSTRIA PARAENSE NOS ANOS 60: UM ESTUDO EXPLORATÓRIO COM BASE NA LITERATURA DISPONÍVEL.;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-be69ac6e8ab75a5870bac3ad6f547a41.doc;LUIS FLÁVIO MAIA LIMA (UFPA);i3;Área 3 - História Econômica
A COMERCIALIZAÇÃO DE CRIAS DE PEITO E PÉ, MENINOS E MENINAS, MOLEQUES E MOLECAS NO OESTE PAULISTA, 1861-1869;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-64a37caf72ec8262b2050f0e5f09b7db.docx;GABRIEL ALMEIDA ANTUNES ROSSINI (UFABC);i3;Área 3 - História Econômica
A TEORIA PROTOINDUSTRIAL: ORIGEM, DESENVOLVIMENTO E ATUALIDADE.;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-ac13e5f9e607b2f987c825562769c2cb.docx;FELIPE LIMA DE MEDEIROS (UFRJ/IE) - LUIZ CARLOS DELORME PRADO (UFRJ);i3;Área 3 - História Econômica
ESTRATÉGIAS PARA O DESENVOLVIMENTO ECONÔMICO DO CANADÁ: OS PRIMEIROS ANOS APÓS A CONFEDERAÇÃO E A NATIONAL POLICY (1867-1931).;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-9f2a7ea8682e6329f8c74deb10e070b2.docx;CARLOS VINICIUS LUDWIG VIEGAS SOARES (UFRGS) - MARCELO MILAN (UFRGS);i3;Área 3 - História Econômica
HOW THE EAST WAS LOST: COEVOLUTION OF INSTITUTIONS AND CULTURE  IN THE 16TH CENTURY PORTUGUESE EMPIRE;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-9bb889528c62e0d0566c0e5a714adf5f.docx;BERNARDO MUELLER (UnB) - JOÃO GABRIEL AYELLO (UNB);i3;Área 3 - História Econômica
NOVAS UNIDADES PRODUTIVAS E A CRISE DO SETOR AÇUCAREIRO BAIANO NO SÉCULO XVII: A VISÃO ECONÔMICA DOS SENHORES DE ENGENHO.;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-ce662345caca8ada94f8d269f95d9d57.pdf;MARCELO LUNARDI DO CARMO (USP);i3;Área 3 - História Econômica
O BARÃO E O ENCILHAMENTO: OS INVESTIMENTOS DE JOSÉ DE LACERDA GUIMARÃES NA ECONOMIA CAFEEIRA PAULISTA (1885-1893);https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-2a7bb512be87c15aef550c08f349c05f.pdf;GUSTAVO PEREIRA DA SILVA (UFPR);i3;Área 3 - História Econômica
O PLANO DE METAS E A ESTRUTURA EMPRESARIAL E FINANCEIRA DA INDÚSTRIA DE MÁQUINAS E EQUIPAMENTOS NO BRASIL: DEDINI E ROMI, 1955-1961;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-7369c1d4ce51a660eeebe3f2779d9aee.docx;MICHEL DELIBERALI MARSON (UNIFAL);i3;Área 3 - História Econômica
RESPOSTA A CELSO FURTADO: A QUESTÃO DA MÃO DE OBRA EM FORMAÇÃO ECONÔMICA DO BRASIL À LUZ DA CONTRIBUIÇÃO DE NATHANIEL LEFF;https://www.anpec.org.br/encontro/2017/submissao/files_I/i3-1577be494f8b5882b65687f3860b8b93.pdf;ELIAS DE OLIVEIRA SAMPAIO (MINISTÉRIO DO PLANEJAMENTO, DESENVOLVIMENTO E GESTÃO);i3;Área 3 - História Econômica
CICLOS DE LIQUIDEZ GLOBAL E CRÉDITO DOMÉSTICO:  CANAIS DE TRANSMISSÃO E A EXPERIÊNCIA BRASILEIRA RECENTE;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-eba1e3263c3813b9165ea04ce57dbc6a.pdf;ANDRÉ MARTINS BIANCARELLI (UNICAMP) - RENATO DE SOUZA ROSA (UNICAMP) - RODRIGO VERGNHANINI (UNICAMP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
CREDIBILITY AND INFLATION EXPECTATIONS IN EMERGING ECONOMIES;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-5af0823de87a5ef1db227443da61682d.pdf;HELDER FERREIRA DE MENDONÇA (UFF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
DESEMPENHO DA ECONOMIA BRASILEIRA ENTRE 1980 E 2016: UMA ANÁLISE DA DESACELERAÇÃO BRASILEIRA PÓS-2010;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-51d65313e2065888875e25bafbb8d47d.pdf;MARCEL GRILLO BALASSIANO (FGV-RJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
DETERMINANTES DO SPREAD BANCÁRIO NO BRASIL E OS IMPACTOS DO ACORDO DE BASILEIA III;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-14b5e83f6f3b30aaad5ca10d9e208c86.pdf;FELIPE DE OLIVEIRA CAVALCANTI (BB) - CARLOS ENRIQUE CARRASCO GUTIERREZ (UCB) - JOSÉ ANGELO COSTA DO AMOR DIVINO (UCB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
DINÂMICA DA INFLAÇÃO PARA UMA ECONOMIA SOB METAS DE INFLAÇÃO: EVIDÊNCIAS PARA O BRASIL USANDO MODELOS DSGE-VAR;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-c0878ee26836bd33946041bf63dc1d86.pdf;HUDSON CHAVES COSTA (APPUS | HR ANALYTICS) - SABINO DA SILVA PORTO JUNIOR (UFRGS) - HELBERTE JOÃO FRANÇA ALMEIDA (UFSC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
DINÂMICA E TRANSIÇÃO DA INCERTEZA NO BRASIL: UMA INVESTIGAÇÃO DE AUTORREGRESSÃO QUANTÍLICA;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-df71f7f5e876e9d456f08f48c399808a.pdf;MICHEL CÂNDIDO DE SOUZA (UFMG/CEDEPLAR) - UDILMAR ZABOT (UNEMAT) - SIDNEY CAETANO (UFJF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
EFFECT OF MONETARY POLICY CREDIBILITY ON THE FEAR OF FLOATING: EVIDENCE FROM BRAZIL ;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-4c1b1ec55c80e593bde8f3f6c2a07abf.pdf;CAIO FERRARI FERREIRA (UFF) - GABRIEL CALDAS MONTES (UFF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
ESTIMAÇÃO DA CURVA DE PHILLIPS NOVO-KEYNESIANA PARA O BRASIL: UMA ANÁLISE ECONOMÉTRICA ROBUSTA A PROBLEMAS DE IDENTIFICAÇÃO;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-f1fd17088665e20f4530da9c1c7861e6.pdf;EDILEAN KLEBER DA SILVA BEJARANO ARAGÓN (UFPB) - GABRIELA BEZERRA DE MEDEIROS (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
ESTUDO SOBRE RIGIDEZ DE PREÇOS NO BRASIL: UMA ABORDAGEM SETORIAL COM INFORMAÇÕES AGREGADAS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-2b9351c29fb8b8b115ff7bd35d96738e.docx;JOCILDO FERNANDES BEZERRA (UFPE/PIMES) - IGOR ÉZIO MACIEL SILVA (UFRN/PPECO);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
EXCHANGE RATE MISALIGNMENT AND GROWTH: A MYTH?;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-53dad2211ca2c375c0c427563248c7e8.pdf;CARLOS EDUARDO SOARES GONÇALVES (USP/FEA) - MAURO RODRIGUES (USP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
EXPECTATIVAS PASSADAS OU FUTURAS? UMA ANÁLISE DO PROCESSO INFLACIONÁRIO BRASILEIRO RECENTE A PARTIR DA REGRESSÃO QUANTÍLICA INVERSA;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-81d058ad4496883a6bb50c59ce5a625a.pdf;LUMA DE OLIVEIRA (UNIVERSIDADE ESTADUAL DE PONTA GROSSA (UEPG)) - FLAVIO TOSI FEIJÓ (UFRGS);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
EXPLOSIVE, RECURRENT AND INTRINSIC BUBBLES IN EXCHANGE RATES FOR BRICS ;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-3cc797ce64f308ea593415025b343ee1.pdf;JUSSARA RIBEIRO (UCB) - WILFREDO L. MALDONADO (UCB) - OCTÁVIO A. F. TOURINHO (UERJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
FIXED-INCOME PORTFOLIO OPTIMIZATION BASED ON DYNAMIC NELSON-SIEGEL MODELS WITH MACROECONOMIC FACTORS FOR THE BRAZILIAN YIELD CURVE;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-1400816b654a21fcfea74c028bfc1c42.pdf;RICHARD SCHNORRENBERGER (UFSC) - GUILHERME VALLE MOURA (UFSC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
FRAGILIDADE BANCÁRIA COM (E SEM) SERVIÇO SEQUENCIAL;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-38f433edb5cb102650fa7dc6b0dcb142.pdf;JEFFERSON DONIZETI PEREIRA BERTOLAI (USP/FEA-RP) - MATHEUS MELO (FEARP/USP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
HETEROGENEITY IN INFLATION EXPECTATIONS AND MACROECONOMIC DYNAMICS UNDER EVOLUTIONARILY SATISFICING LEARNING;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-0bcf19cdd6af16a648d0af031b8f8029.pdf;GILBERTO TADEU LIMA (USP/FEA) - JAYLSON JAIR DA SILVEIRA (UFSC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
IMPACTOS DAS POLÍTICAS FISCAIS FEDERAL E ESTADUAL NAS REGIÕES BRASILEIRAS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-5e7a4adb62e59902d1e818ba471f7588.pdf;PAULO DE CARVALHO LINS (FGV-RJ) - GIAN PAULO SOAVE (USP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
INVESTIGATING FORECASTING MODELS OF BRAZILIAN INFLATION;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-62a647d69dea274c008f75b5431ce983.pdf;MAURÍCIO MESQUITA BORTOLUZZO (UNIVERSIDADE PRESBITERIANA MACKENZIE) - EMERSON FERNANDES MARÇAL (FGV);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
INVESTIGATING THE EXPECTATION HYPOTHESIS AND THE RISK PREMIUM DYNAMICS: NEW EVIDENCE FOR BRAZIL;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-993faf76820329e89cd1449bb390bc66.pdf;JOÃO FROIS CALDEIRA (UFRGS) - JOÃO FROIS CALDEIRA (UFRGS);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
MACROPRUDENTIAL POLICIES AND MONETARY POLICY: AN EMPIRICAL ASSESSMENT;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-3a5c8cc0534d170c1526d796f28d5cfb.pdf;CLAUDIO OLIVEIRA DE MORAES (BACEN) - HELDER FERREIRA DE MENDONÇA (UFF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
MACROPRUDENTIAL POLICY IN A DYNAMIC STOCHASTIC DISEQUILIBRIUM MODEL;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-efd765028c7a7ceff3ceeb83e0f12621.pdf;MÍRIAM OLIVEIRA SILVA PORTUGUÊS (UFRJ) - ANTONIO LUIS LICHA  (UFRJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
MEASURING THE NEUTRAL REAL INTEREST RATE IN BRAZIL: A JOIN ESTIMATION WITH POTENTIAL OUTPUT, NAIRU AND NAICU;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-978cc745822e69574d1bcb0d7a095896.pdf;ALBERTO RONCHI NETO (UCB) - OSVALDO CANDIDO (UCB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
MONETARY POLICY, RELATIVE PRICES AND INFLATION RATE: AN EVALUATION BASED ON NEW KEYNESIAN PHILLIPS CURVE FOR THE U.S. ECONOMY;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-7053c5442643827a0c2a6f579af578b6.pdf;TITO BELCHIOR SILVA MOREIRA (UCB) - MARIO JORGE C. MENDONÇA  (IPEA) - ADOLFO SACHSIDA (IPEA) - PAULO ROBERTO AMORIM LOUREIRO (UNB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
O MODELO COM MUDANÇA DE REGIME MARKOVIANA E DURAÇÃO DEPENDENTE: UM ESTUDO EMPÍRICO PARA O PIB DO BRASIL.;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-dd231dda470ef8b57efed0460903b82a.pdf;FERNANDO HENRIQUE DE PAULA E SILVA MENDES (UFRGS) - JOÃO FRÓIS CALDEIRA (UFRGS) - GUILHERME VALLE MOURA (UFSC);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
O PRICE PUZZLE NA ECONOMIA BRASILEIRA NO PERÍODO DE METAS DE INFLAÇÃO: EVIDÊNCIA BASEADA NA ABORDAGEM VAR E FAVAR;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-d2b06e6f3231387dce6fbe9581450a87.pdf;GIULIANO DE QUEIROZ FERREIRA (UFV);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
O PROBLEMA DO PESO NO REAL EM 2016;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-696b5d4434a1c93cf11912eb0251abe0.pdf;PEDRO HENRIQUE MORAVIS VENTURI (USP/FEA-RP) - ALEX LUIZ FERREIRA (USP/FEA-RP);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
OPTIMAL UNCONDITIONAL MONETARY POLICY, TREND INFLATION AND THE ZERO LOWER BOUND;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-fd20f8184f9d0a8ff15d34bbf7515df1.pdf;SERGIO LAGO ALVES (BACEN);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
OUT OF POLICYMAKER’S SIGHT: THE ROLE OF BANKS’ LIQUIDITY PREFERENCE ON CREDIT SUPPLY IN BRAZIL;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-df60081e84480196495f3448b1811535.pdf;FERNANDA OLIVEIRA ULTREMARE (UNICAMP) - OLIVIA BULLIO MATTOS (UNICAMP AND FACAMP) - ROBERT GUTTMANN (HOFSTRA UNIVERSITY AND UNIVERSITÉ PARIS XIII);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
POLÍTICA FISCAL OU POLÍTICA MONETÁRIA ENDÓGENA? EVIDÊNCIAS PARA ECONOMIA BRASILEIRA;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-7c3de4768672ba02be742b787a1d56c3.pdf;NATHANAEL MATHEUS PEREIRA DE BRITO (UFPB) - CÁSSIO DA NÓBREGA BESARRIA (UFPB) - WELLINGTON CHARLES LACERDA NOBREGA (UFPB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
POLÍTICA MONETÁRIA E CICLO FINANCEIRO GLOBAL: UMA ANÁLISE SOBRE O CASO BRASILEIRO DURANTE O REGIME DE METAS DE INFLAÇÃO ;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-0199213808e43d267eb2eed406910e06.pdf;MATEUS RAMALHO RIBEIRO DA FONSECA (UFRGS) - PEDRO PERFEITO DA SILVA (UFRGS) - ELIANE CRISTINA DE ARAÚJO (UEM);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
POLÍTICAS MACROPRUDENCIAIS NO CONTEXTO DE BASILEIA III: UMA APLICAÇÃO AO BRASIL;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-7e6e0562a43c217ec3ba6059a0b5a08e.pdf;LUCIANO RODRIGUES LARA (BB) - JOSÉ ANGELO DIVINO (UCB);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
REGRESSÃO QUANTÍLICA E VAR: UMA APLICAÇÃO DE QUANTIS CONDICIONAIS EXTREMOS PARA OS RETORNOS RELATIVOS AO IBOVESPA E PETROBRÁS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-b39adde8adbe82f906fd8bd5ab54eb93.pdf;ANA KATARINA TELLES DE NOVAES CAMPELO (UFPE/PIMES) - WILTON BERNARDINO DA SILVA (UFPE) - RENAN OLIVEIRA REGIS (UFPE) - RAFAEL MOURA AZEVEDO (UFPE);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
THE WELFARE COST OF BUSINESS CYCLES FOR HETEROGENEOUS CONSUMERS: A STATE-SPACE DECOMPOSITION;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-2ad356658da9d37b8f1c72cedf5e647b.pdf;FERNANDO BARROS JR (FUCAPE BUSINESS SCHOOL) - FRANCISCO LIMA FILHO (EPGE-FGV/RJ) - DIEGO SILVA (EPGE-FGV/RJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
TRANSPARÊNCIA FISCAL A PARTIR DO ERRO DE PREVISÃO DO BALANÇO ORÇAMENTÁRIO: UMA ANÁLISE PARA O CASO BRASILEIRO ;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-5044228b4391add01e2019e78e6b886b.pdf;JOSEPH DAVID BARROSO VASCONCELOS DE DEUS (IBMEC-RJ) - HELDER FERREIRA DE MENDONÇA (UFF);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
TREND-CYCLE DECOMPOSITION OF THE BRAZILIAN GDP: NEW FACTS FOR THE PERIOD BETWEEN 1947 AND 2012;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-bae187fd7b1462ea0657b6caef0922a4.pdf;LUCKAS SABIONI LOPES (UFJF) - MARCELLE CHAUVET (UC-RIVERSIDE) - JOÃO EUSTÁQUIO DE LIMA (UFV);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
TRIBUTAÇÃO E IPCA: INCIDÊNCIA E ANÁLISE DO IMPACTO DAS POLÍTICAS DE REDUÇÃO DO IPI POR MODELOS DE ESPAÇO DE ESTADO (2006 A 2015);https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-cbb7ba0f1340300d184e0994e94de121.pdf;DÉBORA PIMENTEL (UFRRJ);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
WHY ARE SAVINGS RATE SO LOW AND INTEREST RATES SO HIGH IN BRAZIL? THE ROLE OF INSTITUTIONS;https://www.anpec.org.br/encontro/2017/submissao/files_I/i4-734355b1099f91197c500744366633f5.pdf;MARCELO RODRIGUES DOS SANTOS (INSPER) - MARCELO RODRIGUES DOS SANTOS (INSPER) - MARCO BONOMO (INSPER) - RICARDO BRITO (INSPER) - SAMUEL PESSOA (IBRE-FGV);i4;Área 4 - Macroeconomia, Economia Monetária e Finanças
A QUESTÃO É O CRÉDITO? OS EFEITOS DO FIES SOBRE AS CHANCES DE TRANCAMENTO E EVASÃO NO ENSINO SUPERIOR;https://www.anpec.org.br/encontro/2017/submissao/files_I/i5-add638dfcf429f8eb194f77850989855.pdf;ALICE SACCARO (PUC-RS) - MARCO TÚLIO ANICETO FRANÇA (PUCRS);i5;Área 5 - Economia do Setor Público
DESCENTRALIZAÇÃO FISCAL E RESULTADOS NA SAÚDE INFANTIL NO BRASIL;https://www.anpec.org.br/encontro/2017/submissao/files_I/i5-ee8971e385a988c4d622c639657b9999.pdf;DÉRCIO NONATO CHAVES DE ASSIS (UFC/CAEN) - FLÁVIO ATALIBA FLEXA DALTRO BARRETO (UFC/CAEN E IPECE);i5;Área 5 - Economia do Setor Público
DIFERENCIAL SALARIAL ENTRE SETORES PÚBLICO E PRIVADO NO BRASIL DE 2001 A 2015 ;https://www.anpec.org.br/encontro/2017/submissao/files_I/i5-7ff674606dd97b6c8e536b283eb36f61.pdf;THIAGO MENDES ROSA (UnB) - LARISSA MARIA NOCKO (CODEPLAN);i5;Área 5 - Economia do Setor Público
