título_2015;links_2015;autores;code_area;area;id_doc
OS BANCOS TOO BIG TO FAIL NOS ESTADOS UNIDOS E A NOVA REGULAÇÃO: UMA CRÍTICA A PARTIR DE MINSKY;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-b3dae5a8e944e152d675164d76ec427c.pdf;;i7;Área 7 - Economia internacional;doc12
PASSIVO EXTERNO, DENOMINAÇÃO MONETÁRIA E AS MUDANÇAS NA VULNERABILIDADE DA ECONOMIA BRASILEIRA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-1212933823cd5b8bdc4318d3a3bb0067.pdf;;i7;Área 7 - Economia internacional;doc13
PORT EFFICIENCY AND BRAZILIAN EXPORTS: A QUANTITATIVE ASSESSMENT OF THE IMPACT OF PORT PROCEDURES TIME;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-8921b71a3dda4bbe30ee0e7c13a22768.pdf;;i7;Área 7 - Economia internacional;doc14
PRINCIPAIS DETERMINANTES DA ABERTURA DE CASOS ANTIDUMPING: UMA ANÁLISE VIA POISSON COM DADOS EM PAINEL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-6537f7dc8453609fed8432767d03e121.pdf;;i7;Área 7 - Economia internacional;doc15
RELAÇÃO DA VOLATILIDADE DA TAXA DE CÂMBIO REAL EFETIVA COM AS EXPORTAÇÕES BRASILEIRAS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-8f7fc28ef6712f8cac0321c695186ecc.pdf;;i7;Área 7 - Economia internacional;doc16
UMA VERIFICAÇÃO EMPÍRICA DA HIPÓTESE DE OCORRÊNCIA DE “DOENÇA HOLANDESA” NO BRASIL, NO SÉCULO XXI;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-bc04de881948050e88b5b42ac07a541e.doc;;i7;Área 7 - Economia internacional;doc17
VULNERABILIDADE EXTERNA DE PAÍSES PERIFÉRICOS E O PERFIL DA COMPONENTE FINANCEIRA DO BALANÇO DE PAGAMENTO – UMA ANÁLISE PARA O CASO BRASILEIRO ENTRE 2000 E 2014;http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-429a207b9590db797249a9d8057b0ff2.pdf;;i7;Área 7 - Economia internacional;doc18
A CAPACIDADE DE ABSORÇÃO COMO DETERMINANTE DO SUCESSO DA INTERAÇÃO UNIVERSIDADE-EMPRESA NO BRASIL: UMA ANÁLISE A PARTIR DO BR SURVEY.;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-75818dfc56d71cfa389b0e7bf1bf72ca.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc19
A INTERNACIONALIZAÇÃO DE ATIVIDADES TECNOLÓGICAS E A INSERÇÃO DOS PAÍSES EM DESENVOLVIMENTO: UMA ANÁLISE BASEADA EM DADOS DE PATENTES;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-24df35fa45d71ee84e7eb56a093ae199.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc20
AN ANALYSIS OF THE INFLUENCE OF THE CHARACTERISTICS OF FIRMS AND ACADEMIC RESEARCH GROUPS ON THE GEOGRAPHICAL DISTANCE OF UNIVERSITY-INDUSTRY LINKAGES;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-7b1cd9f1e8b0680c8526db60edc64bc4.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc21
APPLYING ENTROPY INDEXES TO IDENTIFY TECHNOLOGICAL TRAJECTORIES: SECOND-GENERATION BIOETHANOL PRODUCTION;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-44b1c0b3fb3bf3f1f6a5fd9f3a6a02df.docx;;i9;Área 9 - Economia industrial e da tecnologia;doc22
AS MULTIDIMENSÕES DA ECOINOVAÇÃO: EVIDÊNCIAS EMPÍRICAS DOS PRINCIPAIS CONDUTORES NAS INDÚSTRIAS BRASILEIRAS FOCADOS NA REDE DE COOPERAÇÃO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-b79d7b329f0703e42152803329a6614e.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc23
DINÂMICA DE PRECIFICAÇÃO EM MERCADOS CARTELIZADOS: O CASO DA GASOLINA A VAREJO NO BRASIL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-4a742c114c24438a201472d07841afcc.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc24
EMPRESAS ESTRANGEIRAS INVESTEM MAIS EM INOVAÇÃO DO QUE AS FIRMAS DOMÉSTICAS? UMA ABORDAGEM DIFERENCIADA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-5f264cba7119327dae629de16e5e925d.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc25
ESTRUTURA CONCORRENCIAL DA OFERTA DE EILD E O FECHAMENTO VERTICAL DO MERCADO DE BANDA LARGA NO BRASIL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-7df29f279c52609d8d3d6159f1955124.docx;;i9;Área 9 - Economia industrial e da tecnologia;doc26
IMPACTO DE FUSÕES E AQUISIÇÕES SOBRE A QUALIDADE DO ENSINO SUPERIOR;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-0ca4eb1a757a93f9488f004396a66891.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc27
INOVAÇÃO E CAPACIDADE EXPORTADORA: EVIDÊNCIAS PARA EMPRESAS BRASILEIRAS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-2b98500e26ef0dfc3ca635a16ba915a4.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc28
LOST IN TIME AND SPACE: THE DETERRENCE EFFECT OF CARTEL BUSTS ON THE RETAIL GASOLINE MARKET;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-c070e8bef254632e19122e0965025f80.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc29
MUDANÇAS RECENTES NAS RELAÇÕES INTERSETORIAIS: UM EXAME DAS ATIVIDADES DE SERVIÇO E INDUSTRIAIS A PARTIR DA ANÁLISE DE INSUMO-PRODUTO E DE REDES;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-f2aa881e34431055819cc441c3d27dcd.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc30
OS EFEITOS DO PSI SOBRE O INVESTIMENTO CORRENTE E FUTURO DAS FIRMAS INDUSTRIAIS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-3984622923e1d0980b0158c230ac0371.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc31
P&D, INOVAÇÃO E PRODUTIVIDADE: EVIDÊNCIAS PARA EMPRESAS INDUSTRIAIS BRASILEIRAS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-1f25cde9cc6883c836aabe0b0be74511.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc32
PADRÕES SETORIAIS DE INOVAÇÃO DAS PEQUENAS E MÉDIAS EMPRESAS INDUSTRIAIS BRASILEIRAS: UMA ANÁLISE EM NÍVEL DA FIRMA ;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-70d9029a9ecc7d95c5f8f58af42631d3.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc33
PRODUCTIVE DIVERSIFICATION, STRUCTURAL TRANSITION AND DENSITY OF INDUSTRIAL CHAINS: ARE BRAZIL AND SOUTH KOREA DIFFERENT?;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-17d00d4fc62d7590cbf942ea54a79b68.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc34
SOBRE O CUSTO DO TEMPO PARA A COMPETITIVIDADE DA INDÚSTRIA BRASILEIRA: DIAGNÓSTICO E SÍNTESE DOS IMPACTOS ECONÔMICOS DA FACILITAÇÃO DE COMÉRCIO NO BRASIL. ;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-7870a6bea93a6d12053980155baa8ba7.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc35
THE FOOTPRINT OF EVOLUTIONARY PROCESSES OF LEARNING AND SELECTION UPON THE STATISTICAL PROPERTIES OF INDUSTRIAL DYNAMICS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i9-4ca3a771a6fdc95d4d41ae04b8ff6c43.pdf;;i9;Área 9 - Economia industrial e da tecnologia;doc36
A CERTIFICAÇÃO DA PRODUÇÃO ORGÂNICA NA AGRICULTURA FAMILIAR BRASILEIRA: UMA ANÁLISE ECONÔMICA E MERCADOLÓGICA ALÉM DO PROPENSITY SCORE MATCHING ;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-81864270ab90b29f280cdcdbff5792e5.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc37
A PARIDADE DE RISCO NO CENÁRIO BRASILEIRO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-1bf44991291d07d3b82b308025451b7c.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc38
A RELAÇÃO ENTRE OS PROGRAMAS DE RECOMPRA DE AÇÕES, O COMPORTAMENTO DOS INSIDERS E A GOVERNANÇA CORPORATIVA NO BRASIL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-e685705280706728f0391d3d25494ad2.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc39
ALIMENTAÇÃO FORA DE CASA: UMA ANÁLISE DO CONSUMO BRASILEIRO COM DADOS DA POF 2008-2009;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-e39e76421c7aa8b269860ea9b12822d5.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc40
CARTEIRAS DE BAIXA VOLATILIDADE PODEM APRESENTAR RETORNOS ELEVADOS? UMA ANÁLISE NO MERCADO DE AÇÕES BRASILEIRO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-3fd3741a3815a8011ba6050c8f676b13.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc41
DETERMINANTES DO RETORNO FINANCEIRO DO BANCOS NO BRASIL: UMA ANÁLISE ACERCA DO SPREAD EX-POST ;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-25caccbd55e1322f3711e4eb4cbd476b.docx;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc42
EFEITOS DA GOVERNANÇA CORPORATIVA SOBRE EMISSÃO DE DÍVIDAS CONVERSÍVEIS: EVIDÊNCIAS NA AMÉRICA LATINA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-45c2cc96e57de08dc020fef8e02532ca.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc43
ELECTRICITY AUCTIONS WITH INTEGER DECISIONS: PRICING RULES TO SIGNAL OPTIMAL INVESTMENT;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-ce2772937b37ee7d524fe323b4fdb03c.docx;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc44
EVIDÊNCIAS BRASILEIRAS SOBRE O IMPACTO DA OBESIDADE NO SALÁRIO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-6ec2f9e1f6a936178b78890eca35331d.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc45
IMPACTOS DOS PROGRAMAS DE TRANSFERÊNCIA DE RENDA BENEFÍCIO DE PRESTAÇÃO CONTINUADA (BPC) E BOLSA FAMÍLIA SOBRE A ECONOMIA BRASILEIRA: UMA ANÁLISE DE EQUILÍBRIO GERAL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-569d57c875668c09289dc93a3dce2b97.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc46
O EFEITO DE EMISSÕES SOBERANAS SOBRE A LIQUIDEZ DOS TÍTULOS CORPORATIVOS BRASILEIROS EMITIDOS NO MERCADO INTERNACIONAL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-b1a39d708a5cc5fe8cc31d43dd4c7068.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc47
PREVISÃO DO RISCO DE CRÉDITO CORPORATIVO DE LONGO PRAZO NO BRASIL: 1995-2014;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-01c0ba951abf7a5037fb41e2ddeee2a6.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc48
RETAIL ENTRY EFFECTS ON PHARMACEUTICALS PRICES: A VIEW FROM LARGE RETAIL CHAINS IN BRAZIL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-42b4e1574c03639f74ca64190c09c6a4.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc49
SELEÇÃO DE CARTEIRAS COM RETORNOS SERIALMENTE CORRELACIONADOS: UMA APLICAÇÃO DE MODELOS AUTOREGRESSIVOS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-e0b1c262b41e0b7f859d74ce717e84eb.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc50
SUBJECTIVE WELL-BEING AND THE WELFARE COSTS OF CORRUPTION: A PANEL DATA APPROACH;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-9627ed5c8df78da849fa4aff605c4977.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc51
TEORIA DE AGÊNCIA E POLÍTICA DE DIVIDENDOS: EVIDÊNCIAS NAS EMPRESAS BRASILEIRAS DE CAPITAL ABERTO NO PERÍODO DE 2000 A 2013;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-f909111134fba2873b10acdcf2d32bbe.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc52
THE DYNAMICS OF LEVERAGE IN A DEMAND-DRIVEN MODEL WITH HETEROGENEOUS FIRMS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-800c54b7f2c23aea3d68fffee8dbc6c5.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc53
WEATHER FLUCTUATIONS, EARLY-LIFE CONDITIONS, AND PARENTAL INVESTMENTS: EVIDENCE FROM COLOMBIA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i8-f850c6f1e1c36a6305a072ce5f12f86a.pdf;;i8;Área 8 - Microeconomia, métodos quantitativos e finanças;doc54
A EFICIÊNCIA DOS INSTRUMENTOS DE POLÍTICA AGRÍCOLA BRASILEIRO: UMA AVALIAÇÃO POR MEIO DE UM MODELO DE EQUILÍBRIO PARCIAL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-5be0bef9c42089f9fb92974bf2ded960.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc55
AN INPUT-OUTPUT LINEAR PROGRAMMING MODEL TO ASSESS BRAZILIAN GREENHOUSE GAS EMISSIONS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-aa34ac197d94b13b454dacb9adf63f7a.docx;;i11;Área 11 - Economia agrícola e do meio ambiente;doc56
BIOFUELS POLICIES AND FUEL DEMAND ELASTICITIES IN BRAZIL: AN IV APPROACH;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-58122b225d256428ff1fde5cf99c7961.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc57
CLIMATE CHANGE, AGRICULTURE AND LIVESTOCK INTENSIFICATION IN BRAZIL: THE BORLAUG HYPOTHESIS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-a9e54c2572dfca0752e05f81f243ed61.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc58
COMÉRCIO INTERNACIONAL E O AGRONEGÓCIO NO BRASIL: UM EXERCÍCIO DE EQUILÍBRIO GERAL COMPUTÁVEL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-6b74fd9105e328608805596fe362851b.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc59
COMPETIÇÃO ENTRE O ETANOL DE SEGUNDA GERAÇÃO E A BIOELETRICIDADE PELO USO DO BAGAÇO DE CANA DE AÇÚCAR;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-9a7f692dfc2f2001bf5a2c4e423534c5.docx;;i11;Área 11 - Economia agrícola e do meio ambiente;doc60
CONTROLLING DEFORESTATION IN THE BRAZILIAN AMAZON: REGIONAL ECONOMIC IMPACTS AND LAND-USE CHANGE;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-bad6725c9c93d5854689268aa3053d88.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc61
CONVERGÊNCIA MULTISSETORIAL NA EMISSÃO DE GASES DO EFEITO ESTUFA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-ebd3c159349ef77bb03b900884358ef9.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc62
MOBILIDADE DOS FATORES PRIMÁRIOS E SEUS EFEITOS SOBRE O CRESCIMENTO ECONÔMICO E O BEM-ESTAR GERADOS PELO CRÉDITO RURAL NAS REGIÕES BRASILEIRAS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-ee5a161828fccef62f413e77fa757eb9.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc63
MODELING THE ECONOMIC BENEFITS OF SUPPLEMENTAL IRRIGATION;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-b4bb1784f1687dbbed76fc3305d11ac6.docx;;i11;Área 11 - Economia agrícola e do meio ambiente;doc64
MUDANÇAS CLIMÁTICAS E MIGRAÇÃO RURAL-URBANA NO SEMIÁRIDO BRASILEIRO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-0fa9930bb398d13e37756f4b98b5784e.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc65
O IMPACTO DO PROGRAMA SAÚDE DA FAMÍLIA SOBRE A SAÚDE DAS CRIANÇAS DA ÁREA RURAL DO BRASIL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-d55a784dd7dc41f835a92a45724b1593.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc66
PROGRAMA DE COMPRAS DA MERENDA ESCOLAR COM FOCO NA AGRICULTURA FAMILIAR: UMA ANÁLISE ESPACIAL DO SEU EFEITO NO DESENVOLVIMENTO SOCIOECONÔMICO PARANAENSE;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-c5a1bb33058e9fc4c952a07c608d5090.docx;;i11;Área 11 - Economia agrícola e do meio ambiente;doc67
SUBSTITUTIBILIDADE ENTRE ALIMENTOS PROTEICOS: ESTIMANDO AS MUDANÇAS NO CONSUMO DE PROTEÍNAS DE ORIGEM ANIMAL E VEGETAL NO BRASIL NO PERÍODO 2002 - 2008;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-76149d5a15a2ee3c14951a060fb1283d.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc68
TRACING BRAZILIAN REGIONS’ CO2 EMISSIONS IN DOMESTIC AND GLOBAL TRADE;http://www.anpec.org.br/encontro/2015/submissao/files_I/i11-ec11edfb7aa8dfb8da02593bf5f9c459.pdf;;i11;Área 11 - Economia agrícola e do meio ambiente;doc69
A GESTÃO POLÍTICA DA MOEDA: UMA ABORDAGEM MARXISTA PARA A TEORIA ESTATAL DA MOEDA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-7907a18874b68dac5b9313f58526c2a2.pdf;;i2;Área 2 - Economia política;doc70
A MUDANÇA ESTRUTURAL COMO INDUTORA DA DISTRIBUIÇÃO FUNCIONAL DA RENDA NO BRASIL;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-00d9761ba9dff735bebf681ff870e0b2.pdf;;i2;Área 2 - Economia política;doc71
CHINA EM TRANSFORMAÇÃO: TRANSIÇÃO E ESTRATÉGIAS DE DESENVOLVIMENTO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-747eed6f64c3ffa3269c4f9f4853f03a.pdf;;i2;Área 2 - Economia política;doc72
DISTRIBUIÇÃO E TRIBUTAÇÃO DA RENDA NO BRASIL: NOVAS EVIDÊNCIAS A PARTIR DAS DECLARAÇÕES FISCAIS DAS PESSOAS FÍSICAS;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-6860671fb1ec120ca14e91dbb99bf7f9.pdf;;i2;Área 2 - Economia política;doc73
GROWTH AND DISTRIBUTION IN BRAZIL IN THE 21ST CENTURY: REVISITING THE WAGE-LED VERSUS PROFIT-LED DEBATE;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-834b1e5573a59472e1569692bc6ca2a2.pdf;;i2;Área 2 - Economia política;doc74
IDEOLOGIA E CRÍTICA ONTOLÓGICA EM O CAPITAL DE MARX;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-dcb26a4bd16c737b2d610ce713c46c91.pdf;;i2;Área 2 - Economia política;doc75
MEASURING THE PROFIT RATE AT HISTORICAL AND CURRENT COSTS IN A HIGH INFLATION CONTEXT;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-699b30628e584132e94338c0b488ce88.docx;;i2;Área 2 - Economia política;doc76
NOTAS SOBRE A QUESTÃO DE CLASSE NO BRASIL NOS ANOS 2000.;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-1f938b1db6585ce88439de973e49e31b.pdf;;i2;Área 2 - Economia política;doc77
O CAPITAL FICTÍCIO: REINTERPRETAÇÃO DE UMA CATEGORIA CONTROVERSA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-d573cec0e0e89005ffd2b1171a4a50d6.pdf;;i2;Área 2 - Economia política;doc78
POLÍTICA ECONÔMICA EM TEMPOS DE CRISE: A REAÇÃO DO GOVERNO NORTE-AMERICANO À CRISE SUBPRIME;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-24a4778bc8339fbb26fcce3efe026855.pdf;;i2;Área 2 - Economia política;doc79
REFORMISM, CLASS CONCILIATION AND THE PINK TIDE: PROSPECTS FOR THE WORKING CLASSES UNDER LEFT-OF-CENTRE GOVERNMENTS IN LATIN AMERICA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-158393abe0b1077b435ab7d622ccf067.pdf;;i2;Área 2 - Economia política;doc80
VALOR, PREÇO E INFLAÇÃO COMO RELAÇÃO DE PODER;http://www.anpec.org.br/encontro/2015/submissao/files_I/i2-05a76f0e0b30394e07aa547da7e30f4a.pdf;;i2;Área 2 - Economia política;doc81
A LEI JOBS PODE AUMENTAR A ARRECADAÇÃO DE RECURSOS AOS PROJETOS START’UPS? EVIDÊNCIAS PARA O MERCADO DE CROWDFUNDING NOS EUA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i6-2f83ff7fdaffb5c2b837d3dcfc53d717.pdf;;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc82
CADEIAS GLOBAIS DE VALOR E COMPLEXIDADE: UMA ANÁLISE SOBRE A GERAÇÃO DE EMPREGO NO BRASIL PARA O PERÍODO 1995-2011 PELO MÉTODO DE DECOMPOSIÇÃO DE MIYAZAWA;http://www.anpec.org.br/encontro/2015/submissao/files_I/i6-2b337d647205924eb2be563c24d8b9cc.pdf;;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc83
CAPITAL IN THE TWENTY FIRST CENTURY: REINTERPRETANDO A CONTRADIÇÃO FUNDAMENTAL DO CAPITALISMO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i6-5dfb7debf540aa453953f2c06e85f4dc.pdf;;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc84
COMPETITIVE EXCHANGE RATE AND INFRASTRUCTURE IN A MACRODYNAMIC OF ECONOMIC GROWTH;http://www.anpec.org.br/encontro/2015/submissao/files_I/i6-7770e2c05426b8cc5d470da410f4c842.pdf;;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc85
CORRUPÇÃO E OS SEUS EFEITOS SOBRE A DINÂMICA DO CRESCIMENTO ECONÔMICO REGIONAL: UMA ANÁLISE DO CASO BRASILEIRO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i6-491dee12742cac2c962bafbecf2d12aa.pdf;;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc86
CORRUPÇÃO, BUROCRACIA E OUTRAS FALHAS INSTITUCIONAIS: O “CÂNCER” DA INOVAÇÃO E DO DESENVOLVIMENTO;http://www.anpec.org.br/encontro/2015/submissao/files_I/i6-67a721b8561c0572af05e304d4701d12.pdf;;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc87
CRESCIMENTO E A DISTRIBUIÇÃO FUNCIONAL DA RENDA NO BRASIL ENTRE 1952 E 2011.;http://www.anpec.org.br/encontro/2015/submissao/files_I/i6-ed04016150fb8da4889680863a24854c.pdf;;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc88
