título_2013;links_2013;autores_2013;code_area;area;id_doc
UTILIDADE CARDINAL, MENSURABILIDADE E A EVOLUÇÃO DO PENSAMENTO METODOLÓGICO;http://www.anpec.org.br/encontro/2013/files_I/i1-6a217c5ece27fb98ec319826fdbe4775.pdf;FABIO BARBIERI;i1;Área 1 - História do pensamento econômico e metodologia;doc11
REALISMO E DARWINISMO EM METODOLOGIA ECONÔMICA: A CRÍTICA DE GEOFFREY HODGSON;http://www.anpec.org.br/encontro/2013/files_I/i1-9f6e708c08dc3ab8cbe7d621c0da649d.pdf;JOSÉ RICARDO FUCIDJI;i1;Área 1 - História do pensamento econômico e metodologia;doc12
JOHANN HEINRICH GOTTLOB VON JUSTI (1717-1771) E O PENSAMENTO ECONÔMICO CAMERALISTA;http://www.anpec.org.br/encontro/2013/files_I/i1-cc13586f1b74fb47d210954fb8b44aa5.pdf;ALEXANDRE MENDES CUNHA;i1;Área 1 - História do pensamento econômico e metodologia;doc13
O PROJETO DE PESQUISA HETERODOXO DA MAINLINE ECONOMICS;http://www.anpec.org.br/encontro/2013/files_I/i1-3961ec2b6556e340ffac6d2ce4797c24.pdf;EDUARDO ANGELI;i1;Área 1 - História do pensamento econômico e metodologia;doc14
GOVERNING ECONOMIC LIFE: W. S. JEVONS AND THE BIRTH OF LIBERAL BIOPOLITICS IN VICTORIAN ENGLAND;http://www.anpec.org.br/encontro/2013/files_I/i1-951a0c8e8378fdbe6bd7f5db004c959a.pdf;EMMANOEL DE OLIVEIRA BOFF;i1;Área 1 - História do pensamento econômico e metodologia;doc15
DISTRIBUIÇÃO E CRESCIMENTO EM UMA ECONOMIA FECHADA E COM ALTA INFLAÇÃO: O CASO BRASILEIRO DO PÓS II GUERRA;http://www.anpec.org.br/encontro/2013/files_I/i2-659188f1191541204c4291772a0c4728.doc;CARMEM FEIJO;i2;Área 2 - Economia política;doc16
DA POSIÇÃO E DA DEPOSIÇÃO HISTÓRICA DO VALOR;http://www.anpec.org.br/encontro/2013/files_I/i2-a6d9967bc54bd50cddf3f149358deab9.pdf;ELEUTERIO FERNANDO DA SILVA PRADO;i2;Área 2 - Economia política;doc17
STATE POWER AND CAPITAL: ASSESSING BOB JESSOP’S ACCOUNT OF THE TRANSITION TO THE SCHUMPETERIAN WORKFARE POST-NATIONAL REGIME;http://www.anpec.org.br/encontro/2013/files_I/i2-267aa5f5a4a83c5a58bf3d32e3b012ee.pdf;PEDRO MENDES LOUREIRO;i2;Área 2 - Economia política;doc18
NOTAS SOBRE A CRISE DE 2008: TRANSIÇÃO PARA UMA NOVA FASE DO CAPITALISMO? ;http://www.anpec.org.br/encontro/2013/files_I/i2-f37460d57d6c42d2b54a12e0cb205a51.pdf;EDUARDO DA MOTTA E ALBUQUERQUE;i2;Área 2 - Economia política;doc19
AS POSSÍVEIS LINHAS MESTRAS DO DEBATE MARXISTA SOBRE A GRANDE RECESSÃO (2007-2009);http://www.anpec.org.br/encontro/2013/files_I/i2-307879ae7600c2ecbc06e1b77a78144f.pdf;ALEX WILHANS ANTONIO PALLUDETO;i2;Área 2 - Economia política;doc20
WAGE-LED OU PROFIT-LED? ANÁLISE DAS ESTRATÉGIAS DE CRESCIMENTO DAS ECONOMIAS SOB O REGIME DE METAS DE INFLAÇÃO, CÂMBIO FLEXÍVEL, MOBILIDADE DE CAPITAIS E ENDIVIDAMENTO EXTERNO.;http://www.anpec.org.br/encontro/2013/files_I/i2-b5d837fb934ea5a1b86e61a471ed2fae.docx;ANA PAULA TEIXEIRA DE SOUSA;i2;Área 2 - Economia política;doc21
DESMATERIALIZAÇÃO DESMISTIFICADA: O POTENCIAL POUPADOR DA TECNOLOGIA E SUAS IMPLICAÇÕES AMBIENTAIS;http://www.anpec.org.br/encontro/2013/files_I/i2-f25c878a106a5113d5d0e595cd83362f.pdf;EDUARDO SÁ BARRETO;i2;Área 2 - Economia política;doc22
RESGATANDO A TRADIÇÃO ESTRUTURALISTA NA ECONOMIA;http://www.anpec.org.br/encontro/2013/files_I/i2-ed642ab0bf3d7723c8c70e23e0daa66e.pdf;FABRICIO JOSE MISSIO;i2;Área 2 - Economia política;doc23
QUAL DESENVOLVIMENTISMO? UMA PROPOSIÇÃO À LA WAGE-LED KEYNESIANO-INSTITUCIONALISTA;http://www.anpec.org.br/encontro/2013/files_I/i2-2f16c03201fccbba2b74e5e7269ccae5.doc;PEDRO DUTRA FONSECA;i2;Área 2 - Economia política;doc24
THE FOURTH DIMENSION: DERIVATIVES AS A FORM OF CAPITAL;http://www.anpec.org.br/encontro/2013/files_I/i2-6a0411d2fe2c19601040552136702a85.pdf;PEDRO LINHARES ROSSI;i2;Área 2 - Economia política;doc25
EFEITO BUMERANGUE: AS MUDANÇAS NA CLIVAGEM CENTRO-PERIFERIA COM A EVOLUÇÃO DO CAPITALISMO;http://www.anpec.org.br/encontro/2013/files_I/i2-de3df62e611eac211f012eb4972d761d.pdf;SYLVIA FERREIRA MARQUES;i2;Área 2 - Economia política;doc26
A THEORETICAL FRAMEWORK FOR A STRUCTURALIST DEVELOPMENT MACROECONOMICS ;http://www.anpec.org.br/encontro/2013/files_I/i2-632cfd76c2ade686cb4121c6bb909f61.docx;NELSON MARCONI;i2;Área 2 - Economia política;doc27
O DESENVOLVIMENTO DO SETOR SIDERÚRGICO BRASILEIRO ENTRE 1900 E 1940: CRESCIMENTO E SUBSTITUIÇÃO DE IMPORTAÇÕES;http://www.anpec.org.br/encontro/2013/files_I/i3-bf6dc18b1d48e9caae303eda6d01e62d.pdf;GUSTAVO BARROS;i3;Área 3 - História econômica;doc28
FOREIGN ELECTRICITY COMPANIES IN ARGENTINA & BRAZIL: THE CASE OF AMERICAN & FOREIGN POWER (1926-1965);http://www.anpec.org.br/encontro/2013/files_I/i3-ce06a3408cc3116e711c44841bfe50d6.pdf;ALEXANDRE MACCHIONE SAES;i3;Área 3 - História econômica;doc29
PREÇOS DE ESCRAVOS E PRODUTIVIDADE DO TRABALHO CATIVO: PERNAMBUCO E RIO GRANDE DO SUL, SÉCULO XIX;http://www.anpec.org.br/encontro/2013/files_I/i3-5e92f33f630bb2a13bbc28e70f1ebe2f.doc;GUILHERME RESENDE;i3;Área 3 - História econômica;doc30
A POLÍTICA ECONÔMICA NOS ANOS 1930: EVIDÊNCIAS DE UMA HETERODOXIA CONSCIENTE;http://www.anpec.org.br/encontro/2013/files_I/i3-56105375b0a46bbc46aaf57b18555ceb.pdf;MARCIO ALVARENGA JUNIOR;i3;Área 3 - História econômica;doc31
A INDUSTRIALIZAÇÃO BRASILEIRA ANTES DE 1930: UMA CONTRIBUIÇÃO SOBRE A EVOLUÇÃO DA INDÚSTRIA DE MÁQUINAS E EQUIPAMENTOS NO ESTADO DE SÃO PAULO, 1900–1920;http://www.anpec.org.br/encontro/2013/files_I/i3-94d3f7ad20fbae553b299deff1fcf0ec.doc;MICHEL DELIBERALI MARSON;i3;Área 3 - História econômica;doc32
HISTORICAL ORIGINS OF BRAZILIAN RELATIVE BACKWARDNESS;http://www.anpec.org.br/encontro/2013/files_I/i3-9f46607c4d4a069e887f1de49d68603e.docx;ALEXANDRE RANDS COELHO BARROS;i3;Área 3 - História econômica;doc33
A PARTIR DA DEFESA PERMANENTE: O SERVIÇO DE DEFESA DO CAFÉ DO ESPÍRITO SANTO ENTRE 1927 E 1930.;http://www.anpec.org.br/encontro/2013/files_I/i3-eb700feed1ee881abfe688a84513b4ad.pdf;ROGÉRIO NAQUES FALEIROS;i3;Área 3 - História econômica;doc34
EDUCANDO A ELITE PARA GARANTIR O PROGRESSO NACIONAL: POLÍTICAS EDUCACIONAIS E ENSINO PRIMÁRIO NO BRASIL, 1930-1964;http://www.anpec.org.br/encontro/2013/files_I/i3-246f81cc581efebd9a000b0b75e7578a.pdf;THOMAS HYEONO KANG;i3;Área 3 - História econômica;doc35
FAMÍLIA E RIQUEZA NA ECONOMIA PAULISTA: DAS ORIGENS À DIVERSIFICAÇÃO DO CAPITAL DOS LACERDA FRANCO (1803-1897);http://www.anpec.org.br/encontro/2013/files_I/i3-1fc42b97e79300deda380dc843986b5f.pdf;GUSTAVO PEREIRA DA SILVA;i3;Área 3 - História econômica;doc36
NONLINEARITIES IN BRAZILIAN YIELD CURVE;http://www.anpec.org.br/encontro/2013/files_I/i4-44ff873d25d13ab0d1f50fdabfe8a94d.docx;LUIZ ALBERTO DAVILA DE ARAUJO;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc37
POLÍTICA FISCAL ASSIMÉTRICA: O CASO DO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-a836b84f41fab60bfd21f55b82bd23b6.pdf;ROBERTA MOREIRA WICHMANN;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc38
GASTOS PÚBLICOS EM INFRAESTRUTURA, INVESTIMENTO PRIVADO, E ATIVIDADE ECONÔMICA: A EXPERIÊNCIA BRASILEIRA NO PERÍODO RECENTE;http://www.anpec.org.br/encontro/2013/files_I/i4-87899ebfa77f9ef33465f138602ec85f.pdf;JOSÉ LAURINDO DE ALMEIDA ;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc39
REAVALIANDO A RELAÇÃO ENTRE INDEPENDÊNCIA DO BANCO CENTRAL E CUSTOS DE DESINFLAÇÃO: UMA ANÁLISE DE VIÉS DE SELEÇÃO;http://www.anpec.org.br/encontro/2013/files_I/i4-5959d4ec63bb7e32d4da21de4e466a97.pdf;DANILO JOSÉ RODRIGUES PASSOS;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc40
AVALIANDO AS MEDIDAS DE NÚCLEO DA INFLAÇÃO NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-a9452eca12e8d12bf7470cd718f38eb2.pdf;CRISTIANO DA SILVA SANTOS;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc41
RELAÇÕES NÃO LINEARES NA CURVA DE PHILLIPS: UMA ABORDAGEM SEMI-PARAMÉTRICA;http://www.anpec.org.br/encontro/2013/files_I/i4-9e67219021afb75c9742548480c5b35a.pdf;TIAGO SANTANA TRISTÃO;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc42
MODELO DE FATORES DINÂMICOS: ESTIMAÇÃO E PREVISÃO DA CURVA REAL DE JUROS;http://www.anpec.org.br/encontro/2013/files_I/i4-26491906f83bd04eb140ea43a39ad9aa.pdf;JANINE PESSANHA DE CARVALHO;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc43
ESTIMAÇÃO ESTRUTURAL DO HIATO DO PRODUTO: UMA ANÁLISE PARA O BRASIL ;http://www.anpec.org.br/encontro/2013/files_I/i4-3258f6a9091904b48d78908a384a12be.pdf;LEANDRO PADULLA DA CRUZ OLIVEIRA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc44
ANÁLISE EMPÍRICA ENTRE PAÍSES DA PERSISTÊNCIA INFLACIONÁRIA;http://www.anpec.org.br/encontro/2013/files_I/i4-afcf38f2a543f925ea1ecf27a9ad4889.pdf;FERNANDO NASCIMENTO DE OLIVEIRA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc45
EXPECTATIVAS DE INFLAÇÃO E RIGIDEZ DE INFORMAÇÃO NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-b2a1e98d7e4f8fddcb6b7eb11811da16.pdf;SARAH BRETONES DE PAULA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc46
DETERMINAÇÃO DOS SUPERÁVITS DO GOVERNO CENTRAL BRASILEIRO: INFLUÊNCIA DA POLÍTICA MONETÁRIA NA ÓTICA DE REGRESSÕES DE LIMIAR;http://www.anpec.org.br/encontro/2013/files_I/i4-fe32b012a4d9da7c08f45cd7b1044fe0.pdf;BERNARDO PATTA SCHETTINI;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc47
INVESTIMENTO DIRETO ESTRANGEIRO E BALANÇO DE PAGAMENTOS, NO BRASIL: 1994 E 2008;http://www.anpec.org.br/encontro/2013/files_I/i4-5295e3d0fa8e6754a2b275f955790c6f.pdf;DOUGLAS ALCANTARA ALENCAR;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc48
ORTHOGONALITY AND INFLATION FORECAST ERRORS: THE CASE OF CENTRAL BANK TRANSPARENCY;http://www.anpec.org.br/encontro/2013/files_I/i4-919c57ad6b6193df5e824b5bd376a97e.docx;JOSÉ SIMÃO FILHO;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc49
CUSTOS FISCAIS DA POLÍTICA MONETÁRIA: OS EFEITOS INDIRETOS DE UM CHOQUE DE JUROS SOBRE A DÍVIDA LÍQUIDA DO SETOR PÚBLICO;http://www.anpec.org.br/encontro/2013/files_I/i4-f42d5acb29591cbf1690e75f15903229.pdf;ANDRÉ SANDER DINIZ;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc50
THE NEUTRAL INTEREST RATE AND THE STANCE OF MONETARY POLICY IN BRAZIL;http://www.anpec.org.br/encontro/2013/files_I/i4-7b01bcfd8714bd9d509c0a2e6113a6a3.pdf;RAFAEL CAVALCANTI DE ARAÚJO;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc51
MONETARY PROGRAMMING, TURNOVER OF THE DIRECTORS OF CENTRAL BANK AND INTEREST RATE DETERMINATION: REACTION FUNCTION APPLICATIONS FOR BRAZIL;http://www.anpec.org.br/encontro/2013/files_I/i4-5cdd4ee2ab8d0563f8e8d727626f2f9c.pdf;ALLAN SILVEIRA DOS SANTOS;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc52
DETERMINANTES MACROECONÔMICOS DO SPREAD BANCÁRIO NO BRASIL: MENSURANDO O PAPEL DAS EXPECTATIVAS;http://www.anpec.org.br/encontro/2013/files_I/i4-94cbae5f1a6b944fe7de0a2310b69889.pdf;TARCISO GOUVEIA DA SILVA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc53
ESTÍMULOS FISCAIS E A INTERAÇÃO ENTRE AS POLÍTICAS MONETÁRIA E FISCAL NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-8d9fa85abd5f93b9387fd42428c88433.docx;JULIO CESAR DE MELLO BARROS;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc54
PREFERENCES OF THE CENTRAL BANK OF BRAZIL UNDER THE INFLATION TARGETING REGIME: ESTIMATION USING A DSGE MODEL FOR A SMALL OPEN ECONOMY ;http://www.anpec.org.br/encontro/2013/files_I/i4-6038bf8f2b9169062c89c85c78fe063b.pdf;ANDREZA APARECIDA PALMA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc55
REGIMES DE FINANCIAMENTO, MUDANÇA TECNOLÓGICA E CICLOS ECONÔMICOS;http://www.anpec.org.br/encontro/2013/files_I/i4-82c985d566f72fe6a9b1f5ace9d462f7.pdf;HERMES YUKIO HIGACHI;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc56
OUTPUT GROWTH AND INFLATION TARGETING: EMPIRICAL EFFECTS ACROSS THE WORLD;http://www.anpec.org.br/encontro/2013/files_I/i4-6c9f5885a2447b794a1f24fa8407a67f.pdf;GUSTAVO JOSÉ DE GUIMARÃES E SOUZA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc57
NOVAS EVIDÊNCIAS SOBRE O CANAL DE EMPRÉSTIMOS BANCÁRIOS NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-841b5436c77ab0323d8db1f772057624.pdf;BRUNO DE PAULA ROCHA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc58
UM MODELO MACROECONÔMICO HÍBRIDO PARA O BRASIL: UM MIX DE MODELOS DSGE E VAR;http://www.anpec.org.br/encontro/2013/files_I/i4-485ddc947076388859261af76ef91117.pdf;SIDNEY MARTINS CAETANO;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc59
CRISES FINANCEIRAS, ASSIMETRIA INFORMACIONAL E A DINÂMICA DE AJUSTAMENTO MACROECONÔMICO NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-62830ee7f29f241eed5dee3729d8d663.pdf;ANDERSON ANTONIO DENARDIN;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc60
PHILLIPS CURVES: AN ENCOMPASSING TEST;http://www.anpec.org.br/encontro/2013/files_I/i4-262986c27608509d154af78a09ede221.pdf;ALEXIS MAKA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc61
CREDIBILIDADE NÃO LINEAR PARA AS METAS DE INFLAÇÃO NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-68462b207414993853c2da1f52539d01.pdf;CESAR AUGUSTO OVIEDO TEJADA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc62
ESTIMATIVAS PARA A TAXA DE JUROS NEUTRA NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i4-7db25a1f2b5222345ac212a5cd66ddb3.pdf;FLÁVIO HENN FERREIRA;i4;Área 4 - Macroeconomia, economia monetária e finanças;doc63
QUAIS OS IMPACTOS DA DESAPOSENTAÇÃO? UM ESTUDO PARA AS APOSENTADORIAS POR TEMPO DE CONTRIBUIÇÃO DO REGIME GERAL DE PREVIDÊNCIA SOCIAL;http://www.anpec.org.br/encontro/2013/files_I/i5-77eb64e01ce01960bb5b9cca6ef9ff2c.docx;ANGELO JOSÉ ZANELLA;i5;Área 5 - Economia do setor público;doc64
UMA ANÁLISE EXPLORATÓRIA DOS EFEITOS DA POLÍTICA DE FORMALIZAÇÃO DOS MICROEMPREENDEDORES INDIVIDUAIS;http://www.anpec.org.br/encontro/2013/files_I/i5-9478f2be4508d9617c884ebab331f027.docx;GABRIEL ULYSSEA;i5;Área 5 - Economia do setor público;doc65
SOCIAL SECURITY AND PUBLIC DEBT: EMPIRICAL EVIDENCE FOR THE BRAZILIAN ECONOMY;http://www.anpec.org.br/encontro/2013/files_I/i5-daf38e43328a0f11ee1c51649581fca5.pdf;BRUNO PIRES TIBERTO;i5;Área 5 - Economia do setor público;doc66
AVALIANDO A RESPOSTA DOS GASTOS MUNICIPAIS EM SAÚDE ÀS TRANSFERÊNCIAS DO SUS;http://www.anpec.org.br/encontro/2013/files_I/i5-fda0e63936d9c147b4ce58271a8ca515.docx;FERNANDO PARMAGNANI;i5;Área 5 - Economia do setor público;doc67
TRIBUTAÇÃO SOBRE A OFERTA DE TRABALHO: ALÍQUOTAS EFETIVAS A PARTIR DE UM MODELO DE MICROSSIMULAÇÃO;http://www.anpec.org.br/encontro/2013/files_I/i5-8efde192133bebf3e44b356e37deacea.docx;POLLYANA JUCÁ SANTANA;i5;Área 5 - Economia do setor público;doc68
INSTITUIÇÕES ORÇAMENTÁRIAS E RESULTADO FISCAL DO GOVERNO FEDERAL BRASILEIRO;http://www.anpec.org.br/encontro/2013/files_I/i5-4b5618449109e0548745c1eaae03e805.pdf;ANA CAROLINA GIUBERTI;i5;Área 5 - Economia do setor público;doc69
UM ESTUDO SOBRE A DISTRIBUIÇÃO DAS TRANSFERÊNCIAS PARA O SETOR DE SAÚDE NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i5-bb632c0eee25372222808eca27d424fb.docx;JULIANA BARBY SIMÃO;i5;Área 5 - Economia do setor público;doc70
IMF CONDITIONALITIES, LIQUIDITY PROVISION AND INCENTIVES FOR FISCAL ADJUSTMENT;http://www.anpec.org.br/encontro/2013/files_I/i5-5e7f7107de5221fadae3ba6af6faff87.pdf;OZ SOLON CHOVGHI IAZDI;i5;Área 5 - Economia do setor público;doc71
IMPACTOS DA CRIAÇÃO DA ANCINE E DAS LEIS DE INCENTIVO À CULTURA SOBRE O CINEMA BRASILEIRO;http://www.anpec.org.br/encontro/2013/files_I/i5-b2c4b4dbbded4ac21310423c86a1a568.doc;VINÍCIUS DIAS FANTINEL;i5;Área 5 - Economia do setor público;doc72
AUTONOMIA DE GASTOS E QUALIDADE DA SAÚDE NOS MUNICÍPIOS BRASILEIROS;http://www.anpec.org.br/encontro/2013/files_I/i5-993e95f44ef96031c63ea2d82dab3ac6.pdf;VERONICA INES FERNANDEZ ORELLANO;i5;Área 5 - Economia do setor público;doc73
PRIVATIZAÇÃO DO SANEAMENTO BÁSICO FAZ BEM À SAÚDE?;http://www.anpec.org.br/encontro/2013/files_I/i5-8e1baa4ea3e549373fb3695b23428c6e.pdf;CARLOS CESAR SANTEJO SAIANI;i5;Área 5 - Economia do setor público;doc74
AVALIAÇÃO DA CORRUPÇÃO MUNICIPAL A PARTIR DE MICRODADOS.;http://www.anpec.org.br/encontro/2013/files_I/i5-e80f32da48a7648db2c4609785a7b8f9.pdf;FRANCISCO DE ASSIS OLIVEIRA CAMPOS;i5;Área 5 - Economia do setor público;doc75
ALINHAMENTO POLÍTICO E TRANSFERÊNCIAS GOVERNAMENTAIS: NOVAS EVIDÊNCIAS PARA OS MUNICÍPIOS BRASILEIROS;http://www.anpec.org.br/encontro/2013/files_I/i5-1642fc4285fbacca7200d0cf5f6aa5c6.pdf;SERGIO NARUHIKO SAKURAI;i5;Área 5 - Economia do setor público;doc76
INCENTIVOS À CORRUPÇÃO E À INAÇÃO NO SERVIÇO PÚBLICO: UMA ANÁLISE DE DESENHO DE MECANISMOS ;http://www.anpec.org.br/encontro/2013/files_I/i5-6bae9b78d7d4682a2ef9b4e761a1bdb2.docx;MAURÍCIO BUGARIN;i5;Área 5 - Economia do setor público;doc77
ROYALTIES DO PETRÓLEO E ELEIÇÕES MUNICIPAIS: O CASO BRASILEIRO;http://www.anpec.org.br/encontro/2013/files_I/i5-c6ebbc8ff85e64e78dc8ee384bc70d56.pdf;JOSÉ CARLOS FERREIRA DA SILVA;i5;Área 5 - Economia do setor público;doc78
GASTOS PÚBLICOS EM INFRAESTRUTURA E EM CAPITAL HUMANO COMO FORMA DE PROMOÇÃO DO CRESCIMENTO PRÓ-POBRE NOS ESTADOS BRASILEIROS;http://www.anpec.org.br/encontro/2013/files_I/i6-9e8592049b9ec586a62e2c65c8a3e27e.docx;ALINE CRISTINA DA CRUZ;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc79
ELASTICIDADE RENDA, ENDOGENEIDADE E CÂMBIO REAL: UM ESTUDO EMPÍRICO.;http://www.anpec.org.br/encontro/2013/files_I/i6-37a23a2226b2dab27d575c9b3cb779f7.docx;RENATO SILVERIO CAMPOS;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc80
ELASTICIDADE DA POBREZA: APLICAÇÃO DE UMA NOVA ABORDAGEM EMPÍRICA PARA OS ESTADOS E MUNICÍPIOS BRASILEIROS;http://www.anpec.org.br/encontro/2013/files_I/i6-6bfd752e93f3eea522d3e232e2514cf8.pdf;WALLACE PATRICK SANTOS DE FARIAS SOUZA;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc81
EFEITOS MACROECONÔMICOS DA RECOMPOSIÇÃO DOS INVESTIMENTOS PÚBLICOS NO BRASIL;http://www.anpec.org.br/encontro/2013/files_I/i6-f7c71e3721a16c3393eca86aaf0faf91.pdf;ARLEY RODRIGUES BEZERRA;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc82
ÍNDICE DE POTENCIAL CRIATIVO DOS MUNICIPIOS BRASILEIROS E DESENVOLVIMENTO: UM ENFOQUE MULTIDIMENSIONAL;http://www.anpec.org.br/encontro/2013/files_I/i6-840d795691fa0ca93bc7067c79404cb1.docx;LEONARDO FRANCISCO FAVARETTO;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc83
OS IMPACTOS DA DEMANDA E DA TECNOLOGIA NA EXPANSÃO DA PRODUÇÃO INDUSTRIAL BRASILEIRA 2000-2009: UMA ANÁLISE MULTISSETORIAL;http://www.anpec.org.br/encontro/2013/files_I/i6-7260d8838a6c628d1e1d389fffe1be5e.pdf;ELCIO CORDEIRO DA SILVA;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc84
INVESTIMENTO ESTRANGEIRO DIRETO, ABERTURA COMERCIAL E PRODUTIVIDADE: EVIDÊNCIAS DE DADOS EM PAINEL PARA INDÚSTRIA BRASILEIRA DE TRANSFORMAÇÃO;http://www.anpec.org.br/encontro/2013/files_I/i6-0f2f9e6a993bc2bf7673dbfc74d3cfbd.pdf;GILBERTO JOAQUIM FRAGA;i6;Área 6 - Crescimento, desenvolvimento econômico e instituições;doc85
